name,ticker,date,time,size,price
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, July 6, 2021",3:18 PM EST,3Y,$101
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, June 22, 2021",5:15 PM EST,2Y,$102
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, June 22, 2021",7:55 AM EST,2Y,$139
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, June 10, 2021",11:09 AM EST,13K,$195
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, May 31, 2021",10:19 PM EST,12K,$105
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, May 26, 2021",4:40 AM EST,3Y,$191
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, May 25, 2021",3:25 PM EST,3Y,$190
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, May 19, 2021",1:15 AM EST,3Y,$185
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, May 18, 2021",4:57 PM EST,13K,$188
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, May 13, 2021",5:07 PM EST,11K,$165
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, May 12, 2021",7:52 AM EST,2Y,$182
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, May 10, 2021",11:10 AM EST,3Y,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, May 5, 2021",11:02 AM EST,2Y,$160
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Sunday, May 2, 2021",1:15 AM EST,2Y,$159
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, May 1, 2021",9:30 AM EST,2Y,$105
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, April 30, 2021",3:14 PM EST,13K,$188
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, April 23, 2021",12:40 PM EST,3Y,$195
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, April 20, 2021",1:30 PM EST,13K,$86
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, April 16, 2021",4:09 PM EST,12K,$155
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Sunday, April 11, 2021",12:40 PM EST,3Y,$179
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, April 6, 2021",2:49 PM EST,13K,$140
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, April 5, 2021",9:52 AM EST,3Y,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, April 3, 2021",9:18 AM EST,13K,$136
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, April 1, 2021",3:24 PM EST,3Y,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, March 31, 2021",12:49 PM EST,2Y,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, March 25, 2021",9:47 AM EST,3Y,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, March 23, 2021",5:18 PM EST,1Y,$155
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, March 23, 2021",5:18 PM EST,13K,$135
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, March 17, 2021",8:08 AM EST,11K,$145
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, March 16, 2021",11:48 AM EST,2Y,$130
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, March 15, 2021",11:57 AM EST,13K,$140
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, March 13, 2021",6:42 PM EST,11K,$110
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, March 5, 2021",7:00 AM EST,1Y,$160
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, February 26, 2021",1:44 PM EST,12K,$159
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, February 15, 2021",2:01 PM EST,13K,$120
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, February 15, 2021",1:59 PM EST,13K,$140
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, February 5, 2021",10:15 PM EST,13K,$140
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Friday, February 5, 2021",2:27 AM EST,3Y,$196
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, February 4, 2021",2:16 PM EST,12K,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, January 28, 2021",9:00 PM EST,3Y,$155
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, January 16, 2021",2:24 AM EST,1Y,$160
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, January 2, 2021",1:02 PM EST,3Y,$160
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, December 29, 2020",4:55 PM EST,1Y,$100
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, December 23, 2020",4:16 PM EST,3Y,$174
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Wednesday, December 23, 2020",5:05 AM EST,12K,$151
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, December 21, 2020",12:09 AM EST,13K,$160
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, December 21, 2020",11:31 PM EST,1Y,$122
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, December 21, 2020",7:58 AM EST,12K,$140
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Sunday, December 20, 2020",10:26 PM EST,3Y,$176
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, December 17, 2020",11:57 AM EST,3Y,$152
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, December 17, 2020",9:24 AM EST,12K,$149
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Monday, December 14, 2020",12:04 AM EST,2Y,$130
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Sunday, December 13, 2020",11:24 AM EST,3Y,$150
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, December 12, 2020",1:44 PM EST,11K,$169
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, December 12, 2020",10:12 AM EST,13K,$145
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Saturday, December 12, 2020",1:47 AM EST,2Y,$133
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, December 10, 2020",11:12 PM EST,3Y,$176
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, December 10, 2020",6:32 PM EST,12K,$130
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Thursday, December 10, 2020",4:34 PM EST,3Y,$170
adidas Yeezy QNTM Barium (Kids),YZQNTM-BRMK,"Tuesday, December 8, 2020",9:11 AM EST,12K,$129
