name,ticker,date,time,size,price
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",4:44 PM EST,11,$416
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",4:04 PM EST,8,$419
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",2:33 PM EST,10,$317
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",2:29 PM EST,8,$385
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",2:25 PM EST,13,$387
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",2:22 PM EST,14,$321
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",2:03 PM EST,9,$291
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",1:38 PM EST,10,$415
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",1:01 PM EST,11,$384
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",10:22 AM EST,5,$310
adidas Yeezy Slide Bone,YZSLD-BN,"Tuesday, July 6, 2021",7:57 AM EST,6,$473
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",9:39 PM EST,11,$400
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",9:03 PM EST,8,$362
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",8:52 PM EST,8,$350
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",8:41 PM EST,5,$310
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",8:00 PM EST,8,$400
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",4:02 PM EST,14,$588
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",3:17 PM EST,9,$362
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",3:02 PM EST,12,$400
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",6:46 AM EST,10,$391
adidas Yeezy Slide Bone,YZSLD-BN,"Monday, July 5, 2021",6:06 AM EST,9,$362
adidas Yeezy Slide Bone,YZSLD-BN,"Sunday, July 4, 2021",11:35 PM EST,9,$370
adidas Yeezy Slide Bone,YZSLD-BN,"Sunday, July 4, 2021",4:53 PM EST,10,$422
adidas Yeezy Slide Bone,YZSLD-BN,"Sunday, July 4, 2021",3:13 PM EST,10,$421
adidas Yeezy Slide Bone,YZSLD-BN,"Sunday, July 4, 2021",2:59 PM EST,5,$386
adidas Yeezy Slide Bone,YZSLD-BN,"Sunday, July 4, 2021",2:02 PM EST,11,$358
adidas Yeezy Slide Bone,YZSLD-BN,"Sunday, July 4, 2021",5:55 AM EST,9,$318
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",12:28 AM EST,5,$385
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",11:02 PM EST,10,$408
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",10:39 PM EST,7,$450
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",5:49 PM EST,10,$350
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",1:34 PM EST,8,$363
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",11:02 AM EST,10,$374
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",10:50 AM EST,11,$425
adidas Yeezy Slide Bone,YZSLD-BN,"Saturday, July 3, 2021",7:57 AM EST,6,$483
adidas Yeezy Slide Bone,YZSLD-BN,"Friday, July 2, 2021",2:37 PM EST,8,$450
adidas Yeezy Slide Bone,YZSLD-BN,"Friday, July 2, 2021",12:17 PM EST,9,$307
adidas Yeezy Slide Bone,YZSLD-BN,"Friday, July 2, 2021",12:04 PM EST,10,$400
adidas Yeezy Slide Bone,YZSLD-BN,"Friday, July 2, 2021",9:56 AM EST,8,$447
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",7:25 PM EST,8,$445
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",7:23 PM EST,4,$393
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",7:08 PM EST,8,$440
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",4:36 PM EST,11,$400
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",1:53 PM EST,12,$525
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",11:11 AM EST,11,$399
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",10:47 AM EST,10,$397
adidas Yeezy Slide Bone,YZSLD-BN,"Thursday, July 1, 2021",10:35 AM EST,8,$412
