name,ticker,date,time,size,price
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, July 1, 2021",8:48 AM EST,7K,$275
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, July 1, 2021",3:09 AM EST,5K,$167
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, June 30, 2021",1:24 PM EST,3K,$190
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, June 23, 2021",9:56 PM EST,3K,$240
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, June 22, 2021",4:06 AM EST,5K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, June 11, 2021",2:10 PM EST,4K,$250
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, June 3, 2021",5:29 PM EST,7K,$350
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, June 1, 2021",9:23 PM EST,4K,$130
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, May 29, 2021",3:30 PM EST,4K,$276
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, May 29, 2021",3:34 AM EST,4K,$256
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, May 24, 2021",8:44 PM EST,4K,$250
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, May 24, 2021",6:53 PM EST,7K,$300
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, May 23, 2021",11:15 PM EST,3K,$258
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, May 22, 2021",3:24 PM EST,7K,$350
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, May 22, 2021",1:29 PM EST,7K,$250
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, May 21, 2021",10:11 PM EST,7K,$265
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, May 21, 2021",11:25 AM EST,4K,$227
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, May 16, 2021",12:54 PM EST,3K,$225
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, May 15, 2021",10:09 AM EST,6K,$237
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, May 14, 2021",2:26 PM EST,4K,$174
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, May 11, 2021",1:08 PM EST,4K,$160
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, May 10, 2021",3:57 PM EST,7K,$236
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, May 9, 2021",4:31 AM EST,5K,$250
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, May 6, 2021",11:18 AM EST,7K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, May 6, 2021",1:31 AM EST,4K,$145
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, May 5, 2021",8:01 PM EST,5K,$150
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, April 29, 2021",2:13 PM EST,5K,$175
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, April 29, 2021",1:40 PM EST,6K,$162
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 28, 2021",2:00 PM EST,7K,$250
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 28, 2021",9:57 AM EST,4K,$150
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, April 27, 2021",4:23 PM EST,6K,$224
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, April 25, 2021",12:48 PM EST,6K,$315
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, April 23, 2021",12:37 AM EST,7K,$326
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 21, 2021",4:42 PM EST,3K,$150
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 21, 2021",2:38 AM EST,7K,$332
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 21, 2021",2:35 AM EST,7K,$326
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 19, 2021",11:58 PM EST,7K,$283
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 19, 2021",12:42 PM EST,7K,$290
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, April 18, 2021",10:22 PM EST,6K,$170
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, April 17, 2021",2:17 PM EST,7K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, April 16, 2021",3:39 AM EST,7K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 14, 2021",12:18 PM EST,5K,$400
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 14, 2021",10:59 AM EST,4K,$140
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 12, 2021",10:25 PM EST,4K,$224
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, April 10, 2021",10:20 AM EST,5K,$238
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, April 8, 2021",4:09 PM EST,6K,$250
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, April 7, 2021",5:48 AM EST,5K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 5, 2021",9:54 PM EST,4K,$210
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 5, 2021",4:42 PM EST,4K,$205
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 5, 2021",1:31 PM EST,6K,$249
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, April 5, 2021",9:30 AM EST,4K,$205
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, April 3, 2021",4:49 AM EST,6K,$240
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, April 2, 2021",8:34 PM EST,4K,$204
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, April 2, 2021",9:01 AM EST,3K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, March 31, 2021",5:43 PM EST,3K,$150
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, March 30, 2021",4:12 PM EST,3K,$186
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, March 30, 2021",2:16 PM EST,3K,$185
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, March 30, 2021",12:17 PM EST,4K,$204
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, March 30, 2021",11:43 AM EST,7K,$289
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 29, 2021",3:15 PM EST,5K,$198
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 29, 2021",12:44 PM EST,3K,$182
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, March 28, 2021",10:33 AM EST,6K,$202
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, March 27, 2021",8:56 AM EST,4K,$210
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, March 25, 2021",12:47 AM EST,3K,$235
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, March 25, 2021",6:14 PM EST,7K,$120
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, March 25, 2021",1:48 AM EST,6K,$160
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, March 24, 2021",9:46 PM EST,3K,$100
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, March 24, 2021",6:25 PM EST,7K,$145
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, March 24, 2021",6:25 PM EST,7K,$180
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, March 24, 2021",5:41 PM EST,5K,$185
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, March 19, 2021",10:19 PM EST,7K,$217
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, March 19, 2021",8:07 PM EST,4K,$207
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, March 18, 2021",12:53 PM EST,3K,$240
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, March 17, 2021",8:48 PM EST,7K,$195
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, March 16, 2021",10:00 PM EST,3K,$189
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 15, 2021",7:52 PM EST,7K,$180
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 15, 2021",4:14 PM EST,4K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, March 13, 2021",8:11 PM EST,6K,$158
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, March 13, 2021",1:55 PM EST,7K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, March 13, 2021",11:18 AM EST,4K,$216
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, March 13, 2021",7:36 AM EST,7K,$195
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Thursday, March 11, 2021",10:44 AM EST,7K,$150
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 8, 2021",2:48 PM EST,4K,$209
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 8, 2021",1:32 AM EST,5K,$209
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Friday, March 5, 2021",6:51 PM EST,4K,$200
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, March 2, 2021",4:31 AM EST,4K,$199
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 1, 2021",5:56 PM EST,4K,$168
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 1, 2021",9:58 AM EST,5K,$272
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, March 1, 2021",8:55 AM EST,6K,$189
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Saturday, February 27, 2021",7:02 AM EST,7K,$175
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, February 24, 2021",11:13 PM EST,5K,$229
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Wednesday, February 24, 2021",5:10 PM EST,6K,$160
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Tuesday, February 23, 2021",2:03 PM EST,3K,$190
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Monday, February 22, 2021",2:51 PM EST,6K,$150
adidas Yeezy Slide Bone (Infants),YZSLD-BNI,"Sunday, February 21, 2021",10:24 PM EST,6K,$159
