name,ticker,date,time,size,price
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, July 3, 2021",5:57 PM EST,9K,$227
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, July 2, 2021",6:31 PM EST,12K,$220
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, July 1, 2021",9:26 AM EST,11K,$200
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, June 30, 2021",5:40 PM EST,9K,$153
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, June 30, 2021",5:39 PM EST,2Y,$165
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, June 26, 2021",4:54 PM EST,2Y,$190
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, June 24, 2021",2:20 AM EST,2Y,$292
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, June 14, 2021",8:44 PM EST,8K,$225
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, June 9, 2021",10:16 AM EST,10K,$307
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, May 31, 2021",2:15 PM EST,2Y,$290
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, May 27, 2021",1:27 AM EST,13K,$295
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, May 23, 2021",2:16 PM EST,13K,$294
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, May 23, 2021",7:37 AM EST,2Y,$283
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, May 23, 2021",1:31 AM EST,1Y,$276
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, May 22, 2021",12:40 PM EST,9K,$378
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, May 19, 2021",3:46 PM EST,8K,$216
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, May 16, 2021",5:58 PM EST,2Y,$275
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, May 14, 2021",5:27 PM EST,10K,$230
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, May 10, 2021",2:28 PM EST,3Y,$400
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, May 5, 2021",7:46 PM EST,2Y,$165
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, May 2, 2021",11:26 AM EST,1Y,$143
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, April 29, 2021",11:05 PM EST,1Y,$220
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, April 29, 2021",2:18 AM EST,3Y,$528
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, April 27, 2021",7:00 PM EST,1Y,$200
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, April 27, 2021",1:16 AM EST,11K,$300
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, April 26, 2021",9:30 PM EST,13K,$244
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, April 26, 2021",1:25 PM EST,8K,$249
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, April 26, 2021",11:29 AM EST,2Y,$250
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, April 25, 2021",11:41 PM EST,11K,$245
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 23, 2021",2:59 PM EST,2Y,$321
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 23, 2021",8:59 AM EST,3Y,$196
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 23, 2021",7:49 AM EST,13K,$235
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, April 21, 2021",6:59 PM EST,9K,$220
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, April 21, 2021",9:49 AM EST,1Y,$195
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, April 17, 2021",12:08 PM EST,13K,$231
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, April 15, 2021",1:33 AM EST,3Y,$362
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, April 13, 2021",8:08 PM EST,8K,$209
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, April 11, 2021",1:59 PM EST,2Y,$99
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, April 10, 2021",7:38 AM EST,1Y,$100
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 9, 2021",8:00 AM EST,1Y,$189
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, April 8, 2021",1:58 PM EST,8K,$150
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, April 7, 2021",8:46 PM EST,13K,$235
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, April 7, 2021",5:43 PM EST,3Y,$351
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, April 7, 2021",1:01 PM EST,11K,$291
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 2, 2021",1:49 PM EST,13K,$242
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 2, 2021",12:31 PM EST,1Y,$225
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, April 2, 2021",9:16 AM EST,10K,$400
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, April 1, 2021",6:07 PM EST,1Y,$200
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, March 31, 2021",5:17 PM EST,2Y,$130
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, March 30, 2021",10:10 PM EST,2Y,$263
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, March 30, 2021",6:09 PM EST,13K,$101
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, March 28, 2021",11:22 PM EST,2Y,$224
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, March 27, 2021",3:01 PM EST,13K,$216
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, March 27, 2021",1:25 PM EST,12K,$293
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, March 24, 2021",6:35 PM EST,11K,$105
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, March 24, 2021",3:28 PM EST,3Y,$345
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, March 22, 2021",4:53 PM EST,13K,$150
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, March 22, 2021",1:35 PM EST,3Y,$315
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, March 21, 2021",6:54 AM EST,3Y,$321
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, March 16, 2021",11:42 PM EST,2Y,$179
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, March 16, 2021",12:31 PM EST,3Y,$260
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, March 14, 2021",1:20 PM EST,3Y,$250
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, March 12, 2021",11:13 AM EST,1Y,$188
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, March 11, 2021",1:43 PM EST,3Y,$251
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, March 9, 2021",5:51 PM EST,3Y,$170
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, March 9, 2021",8:26 AM EST,9K,$213
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, February 26, 2021",12:02 PM EST,2Y,$178
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, February 17, 2021",2:33 AM EST,3Y,$152
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, February 12, 2021",9:49 PM EST,8K,$83
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, February 7, 2021",7:55 PM EST,12K,$199
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, February 7, 2021",5:11 PM EST,11K,$220
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, February 6, 2021",12:19 AM EST,2Y,$175
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, February 5, 2021",3:40 PM EST,3Y,$250
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, February 3, 2021",8:47 PM EST,9K,$199
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, February 1, 2021",11:25 PM EST,2Y,$160
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, February 1, 2021",1:15 PM EST,3Y,$248
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, January 30, 2021",2:18 AM EST,3Y,$230
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, January 29, 2021",3:48 AM EST,2Y,$117
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, January 27, 2021",12:49 PM EST,3Y,$175
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, January 26, 2021",8:19 PM EST,3Y,$200
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, January 26, 2021",11:36 AM EST,13K,$172
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, January 21, 2021",3:04 PM EST,2Y,$160
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, January 21, 2021",3:21 AM EST,8K,$150
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, January 14, 2021",2:23 PM EST,2Y,$120
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, January 14, 2021",6:36 AM EST,3Y,$249
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, January 11, 2021",3:19 PM EST,11K,$269
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, January 3, 2021",3:24 AM EST,10K,$91
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, January 3, 2021",1:20 AM EST,11K,$150
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, December 31, 2020",12:11 AM EST,1Y,$185
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, December 28, 2020",4:36 PM EST,13K,$145
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, December 24, 2020",8:40 PM EST,12K,$150
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, December 24, 2020",8:32 PM EST,12K,$149
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Sunday, December 20, 2020",5:21 AM EST,13K,$140
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, December 18, 2020",9:02 AM EST,3Y,$228
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, December 17, 2020",11:47 PM EST,3Y,$225
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Tuesday, December 15, 2020",11:43 AM EST,3Y,$226
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Monday, December 14, 2020",4:57 PM EST,3Y,$224
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, December 12, 2020",7:43 PM EST,3Y,$223
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Friday, December 11, 2020",12:58 PM EST,13K,$171
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, December 10, 2020",6:02 AM EST,3Y,$224
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Thursday, December 10, 2020",3:03 AM EST,9K,$132
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, December 9, 2020",4:09 PM EST,3Y,$220
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Wednesday, December 9, 2020",9:51 AM EST,13K,$169
adidas Yeezy Slide Bone (Kids),YZSLD-BNK,"Saturday, December 5, 2020",7:33 PM EST,2Y,$170
