name,ticker,date,time,size,price
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, July 6, 2021",5:40 PM EST,6,$272
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, July 6, 2021",5:19 PM EST,6,$238
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, July 5, 2021",12:33 AM EST,11,$475
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, July 5, 2021",12:22 AM EST,10,$460
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, July 5, 2021",10:10 PM EST,10,$420
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, July 5, 2021",7:29 PM EST,7,$362
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, July 5, 2021",9:11 AM EST,11,$305
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Saturday, July 3, 2021",4:24 AM EST,5,$473
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, July 2, 2021",1:29 PM EST,6,$325
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, July 2, 2021",8:51 AM EST,7,$540
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, July 2, 2021",8:17 AM EST,6,$499
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, July 1, 2021",11:39 AM EST,7,$539
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, July 1, 2021",10:33 AM EST,12,$392
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, July 1, 2021",3:20 AM EST,9,$385
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, July 1, 2021",2:20 AM EST,9,$384
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, July 1, 2021",1:11 AM EST,12,$500
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 29, 2021",9:14 AM EST,10,$343
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 29, 2021",4:48 AM EST,7,$426
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, June 28, 2021",8:05 PM EST,7,$528
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, June 28, 2021",2:40 PM EST,11,$385
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, June 28, 2021",1:13 PM EST,9,$420
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Sunday, June 27, 2021",12:16 PM EST,10,$391
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Saturday, June 26, 2021",5:04 PM EST,5,$325
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Saturday, June 26, 2021",4:45 AM EST,12,$617
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, June 24, 2021",10:29 PM EST,10,$449
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 23, 2021",10:39 PM EST,12,$525
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 23, 2021",7:54 PM EST,9,$500
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 22, 2021",7:33 PM EST,4,$480
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, June 21, 2021",10:28 PM EST,5,$460
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, June 21, 2021",10:44 AM EST,5,$510
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Sunday, June 20, 2021",6:28 PM EST,6,$524
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, June 18, 2021",8:11 PM EST,6,$425
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 16, 2021",6:56 PM EST,11,$351
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 16, 2021",2:42 PM EST,6,$524
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 15, 2021",7:19 PM EST,8,$512
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 15, 2021",7:01 PM EST,5,$436
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, June 10, 2021",9:50 AM EST,10,$380
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 9, 2021",4:14 PM EST,11,$500
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 9, 2021",4:10 PM EST,10,$381
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 8, 2021",9:33 PM EST,4,$480
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 8, 2021",10:43 AM EST,5,$505
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, June 4, 2021",6:24 PM EST,8,$490
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, June 4, 2021",5:38 PM EST,9,$425
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, June 4, 2021",12:59 PM EST,6,$550
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, June 4, 2021",8:35 AM EST,11,$320
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, June 3, 2021",6:34 PM EST,7,$600
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, June 3, 2021",5:56 PM EST,6,$500
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, June 3, 2021",5:43 PM EST,9,$400
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 2, 2021",7:08 PM EST,9,$360
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 2, 2021",2:38 PM EST,8,$475
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, June 2, 2021",1:23 PM EST,12,$575
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 1, 2021",5:51 PM EST,6,$441
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, June 1, 2021",12:29 PM EST,8,$405
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, May 31, 2021",9:23 PM EST,12,$386
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, May 31, 2021",4:16 PM EST,11,$405
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Saturday, May 29, 2021",6:01 PM EST,11,$341
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Saturday, May 29, 2021",1:19 PM EST,6,$444
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Saturday, May 29, 2021",1:48 AM EST,12,$569
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Friday, May 28, 2021",2:15 AM EST,10,$525
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, May 27, 2021",9:17 PM EST,8,$406
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Thursday, May 27, 2021",5:59 PM EST,9,$461
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Wednesday, May 26, 2021",6:10 PM EST,8,$435
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",12:54 AM EST,9,$365
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",5:26 PM EST,5,$494
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",1:14 PM EST,13,$747
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",1:10 PM EST,11,$410
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",12:15 PM EST,8,$425
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",11:45 AM EST,7,$570
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",9:42 AM EST,12,$500
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Tuesday, May 25, 2021",7:38 AM EST,8,$600
adidas Yeezy Slide Desert Sand,YZSLD-DS,"Monday, May 24, 2021",12:56 PM EST,10,$490
