name,ticker,date,time,size,price
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, June 24, 2021",12:46 PM EST,6K,$250
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Friday, June 4, 2021",4:00 AM EST,5K,$185
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, May 18, 2021",10:12 PM EST,4K,$289
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, May 13, 2021",4:29 PM EST,4K,$280
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, April 29, 2021",11:30 PM EST,7K,$350
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, April 29, 2021",2:31 PM EST,7K,$91
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, April 29, 2021",11:55 AM EST,5K,$215
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, April 29, 2021",11:52 AM EST,4K,$250
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Monday, April 26, 2021",11:16 AM EST,6K,$250
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Wednesday, April 21, 2021",5:46 PM EST,7K,$136
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, April 20, 2021",9:44 PM EST,4K,$164
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, April 20, 2021",7:51 PM EST,4K,$134
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, April 20, 2021",10:05 AM EST,4K,$242
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, April 15, 2021",8:27 PM EST,6K,$249
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Monday, April 12, 2021",2:45 PM EST,7K,$315
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Sunday, April 11, 2021",10:33 AM EST,6K,$190
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Friday, April 9, 2021",6:25 PM EST,3K,$150
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, April 8, 2021",8:43 PM EST,7K,$163
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, March 30, 2021",9:56 PM EST,4K,$175
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, March 30, 2021",5:12 PM EST,5K,$205
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Monday, March 29, 2021",7:21 PM EST,6K,$140
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Sunday, March 28, 2021",10:34 AM EST,6K,$200
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Sunday, March 28, 2021",1:36 AM EST,7K,$250
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Wednesday, March 24, 2021",5:35 PM EST,5K,$200
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Tuesday, March 23, 2021",11:19 PM EST,4K,$272
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Friday, March 12, 2021",9:26 AM EST,6K,$199
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Wednesday, March 3, 2021",7:15 PM EST,7K,$295
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Sunday, February 28, 2021",5:30 PM EST,6K,$199
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Saturday, February 27, 2021",2:19 PM EST,6K,$195
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Monday, February 22, 2021",10:58 PM EST,6K,$145
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Sunday, February 21, 2021",12:09 AM EST,5K,$185
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Sunday, February 21, 2021",12:08 AM EST,5K,$180
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, February 18, 2021",8:55 PM EST,7K,$200
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Thursday, February 11, 2021",11:26 AM EST,6K,$197
adidas Yeezy Slide Desert Sand (Infants),YZSLD-DSI,"Saturday, February 6, 2021",2:19 PM EST,5K,$185
