name,ticker,date,time,size,price
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, May 6, 2021",2:54 PM EST,11K,$160
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, May 5, 2021",2:14 AM EST,12K,$260
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, April 28, 2021",6:40 AM EST,8K,$200
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Friday, April 23, 2021",8:59 AM EST,3Y,$300
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, April 22, 2021",10:27 PM EST,8K,$200
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, April 21, 2021",3:59 PM EST,3Y,$499
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, April 21, 2021",1:48 PM EST,8K,$150
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Monday, April 19, 2021",10:23 AM EST,13K,$222
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, April 15, 2021",11:56 AM EST,11K,$105
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, April 15, 2021",11:56 AM EST,12K,$225
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, April 8, 2021",9:57 PM EST,3Y,$231
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, March 31, 2021",10:30 AM EST,8K,$215
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Sunday, March 28, 2021",2:38 PM EST,3Y,$235
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, March 25, 2021",12:49 AM EST,13K,$215
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Tuesday, March 23, 2021",5:38 PM EST,9K,$105
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Friday, March 19, 2021",9:20 PM EST,11K,$289
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, March 18, 2021",11:56 AM EST,9K,$199
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, March 17, 2021",6:26 PM EST,9K,$195
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, March 17, 2021",5:54 PM EST,8K,$189
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Tuesday, March 9, 2021",10:00 AM EST,8K,$189
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Friday, February 5, 2021",9:00 PM EST,8K,$203
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Wednesday, January 27, 2021",11:14 AM EST,10K,$280
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Sunday, January 24, 2021",11:47 AM EST,3Y,$210
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, January 7, 2021",3:58 PM EST,2Y,$329
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, January 7, 2021",3:57 PM EST,10K,$376
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, December 17, 2020",5:37 PM EST,13K,$189
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, December 17, 2020",1:16 AM EST,11K,$265
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Thursday, December 10, 2020",10:01 AM EST,13K,$144
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Tuesday, December 8, 2020",11:17 AM EST,3Y,$269
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Saturday, December 5, 2020",12:21 AM EST,1Y,$208
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Saturday, December 5, 2020",7:02 PM EST,12K,$145
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Tuesday, December 1, 2020",10:09 PM EST,3Y,$232
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Tuesday, December 1, 2020",2:31 PM EST,3Y,$232
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Saturday, November 28, 2020",5:43 PM EST,10K,$260
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Friday, November 27, 2020",12:36 PM EST,1Y,$208
adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,"Monday, November 23, 2020",5:32 PM EST,1Y,$206
