name,ticker,date,time,size,price
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:54 PM EST,9,$125
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:54 PM EST,9,$128
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:54 PM EST,9,$130
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:54 PM EST,9,$130
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:53 PM EST,9,$130
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:53 PM EST,9,$132
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:53 PM EST,4,$121
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:51 PM EST,5,$135
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:50 PM EST,11,$176
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:45 PM EST,6,$178
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:43 PM EST,9,$148
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:40 PM EST,8,$160
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:40 PM EST,4,$117
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:34 PM EST,9,$148
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:24 PM EST,9,$148
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:19 PM EST,10,$153
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:19 PM EST,5,$137
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:16 PM EST,14,$210
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:08 PM EST,12,$197
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:05 PM EST,5,$120
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",5:02 PM EST,10,$153
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",4:50 PM EST,10,$153
adidas Yeezy Slide Resin,YZSLD-RSN,"Tuesday, July 6, 2021",4:48 PM EST,12,$197
