name,ticker,date,time,size,price
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Tuesday, June 29, 2021",10:01 PM EST,6K,$270
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Tuesday, June 29, 2021",9:10 PM EST,4K,$120
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Tuesday, June 29, 2021",8:19 PM EST,7K,$200
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Sunday, June 27, 2021",3:17 PM EST,6K,$150
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Thursday, June 24, 2021",2:51 PM EST,6K,$264
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Wednesday, June 23, 2021",7:42 AM EST,6K,$200
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Wednesday, June 16, 2021",7:47 PM EST,7K,$252
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Wednesday, June 9, 2021",10:55 AM EST,6K,$260
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Monday, June 7, 2021",5:38 PM EST,4K,$175
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Sunday, June 6, 2021",2:03 PM EST,6K,$260
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Tuesday, June 1, 2021",2:01 AM EST,7K,$265
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Tuesday, May 25, 2021",12:48 PM EST,7K,$275
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Thursday, May 13, 2021",3:16 PM EST,6K,$160
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Thursday, May 13, 2021",2:27 PM EST,4K,$247
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Saturday, May 8, 2021",2:01 AM EST,5K,$310
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Monday, May 3, 2021",8:44 PM EST,7K,$240
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Monday, May 3, 2021",4:31 AM EST,7K,$180
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Saturday, May 1, 2021",1:38 AM EST,3K,$345
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Monday, April 26, 2021",10:16 PM EST,4K,$200
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Saturday, April 24, 2021",9:15 AM EST,4K,$226
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Friday, April 23, 2021",8:59 PM EST,4K,$224
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Thursday, April 22, 2021",9:19 PM EST,7K,$250
adidas Yeezy Slide Resin (Infants),YZSLD-RSNI,"Wednesday, April 21, 2021",9:07 AM EST,7K,$200
