name,ticker,date,time,size,price
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, July 4, 2021",11:31 PM EST,8K,$195
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, July 4, 2021",11:25 PM EST,9K,$173
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Friday, July 2, 2021",8:38 AM EST,13K,$160
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, June 30, 2021",11:09 AM EST,8K,$180
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, June 28, 2021",4:36 PM EST,2Y,$271
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, June 23, 2021",7:52 AM EST,2Y,$237
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, June 22, 2021",7:22 AM EST,9K,$183
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, June 20, 2021",9:33 PM EST,3Y,$190
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, June 14, 2021",12:42 PM EST,8K,$200
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, June 14, 2021",2:21 AM EST,8K,$187
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, June 13, 2021",12:36 PM EST,12K,$303
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, June 12, 2021",4:28 PM EST,2Y,$240
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, June 12, 2021",10:28 AM EST,2Y,$238
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, June 7, 2021",7:31 AM EST,12K,$298
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, June 3, 2021",3:03 PM EST,1Y,$122
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, May 27, 2021",8:25 PM EST,1Y,$111
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, May 27, 2021",8:25 PM EST,1Y,$120
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, May 10, 2021",10:53 PM EST,13K,$229
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Friday, May 7, 2021",3:28 AM EST,9K,$150
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, May 6, 2021",11:32 AM EST,1Y,$292
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, May 5, 2021",11:49 PM EST,3Y,$200
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, May 5, 2021",12:41 PM EST,2Y,$190
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, May 4, 2021",10:33 AM EST,2Y,$230
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, May 3, 2021",3:58 PM EST,12K,$284
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, May 3, 2021",12:07 PM EST,11K,$315
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, April 29, 2021",12:53 AM EST,2Y,$239
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, April 29, 2021",4:45 PM EST,8K,$237
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 28, 2021",7:35 PM EST,8K,$200
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 28, 2021",6:57 PM EST,11K,$284
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 28, 2021",12:09 PM EST,12K,$229
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 28, 2021",7:53 AM EST,2Y,$245
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 27, 2021",3:12 PM EST,1Y,$110
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 27, 2021",9:27 AM EST,3Y,$195
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, April 26, 2021",4:31 PM EST,10K,$230
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, April 24, 2021",2:38 PM EST,9K,$188
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Friday, April 23, 2021",8:50 AM EST,2Y,$180
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 21, 2021",6:29 PM EST,8K,$189
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 21, 2021",3:18 AM EST,1Y,$119
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 20, 2021",3:10 PM EST,1Y,$115
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 20, 2021",1:30 PM EST,12K,$126
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 20, 2021",1:30 PM EST,12K,$150
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, April 18, 2021",7:33 AM EST,9K,$188
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, April 17, 2021",3:44 PM EST,13K,$228
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Friday, April 16, 2021",10:40 AM EST,9K,$175
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 14, 2021",3:38 AM EST,2Y,$200
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 13, 2021",8:26 PM EST,12K,$229
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, April 8, 2021",8:32 PM EST,9K,$150
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, April 8, 2021",4:29 PM EST,9K,$170
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, April 7, 2021",4:28 PM EST,3Y,$400
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, April 6, 2021",8:49 PM EST,12K,$199
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, April 4, 2021",4:14 AM EST,9K,$202
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Thursday, April 1, 2021",11:10 PM EST,8K,$170
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, March 31, 2021",6:06 PM EST,9K,$174
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, March 31, 2021",8:36 AM EST,11K,$237
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, March 30, 2021",11:27 AM EST,13K,$171
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, March 28, 2021",2:49 PM EST,13K,$125
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, March 28, 2021",1:52 PM EST,11K,$92
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Friday, March 26, 2021",10:31 AM EST,13K,$164
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, March 24, 2021",2:28 PM EST,11K,$230
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, March 24, 2021",11:27 AM EST,13K,$160
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Wednesday, March 24, 2021",4:55 AM EST,1Y,$115
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, March 23, 2021",12:43 PM EST,11K,$220
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, March 23, 2021",11:02 AM EST,3Y,$270
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Tuesday, March 23, 2021",10:32 AM EST,13K,$141
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Monday, March 22, 2021",8:15 PM EST,12K,$134
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, March 21, 2021",8:47 PM EST,13K,$141
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, March 21, 2021",5:02 PM EST,12K,$133
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, March 21, 2021",2:57 PM EST,2Y,$263
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Sunday, March 21, 2021",8:19 AM EST,1Y,$137
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, March 20, 2021",5:27 PM EST,11K,$146
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, March 20, 2021",3:46 PM EST,11K,$141
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, March 20, 2021",1:00 PM EST,12K,$133
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, March 20, 2021",12:59 PM EST,12K,$133
adidas Yeezy Slide Resin (Kids),YZSLD-RSNK,"Saturday, March 20, 2021",12:07 PM EST,1Y,$135
