name,ticker,date,time,size,price
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, July 6, 2021",4:18 PM EST,10,$540
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, July 6, 2021",2:35 PM EST,11,$575
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, July 5, 2021",9:42 AM EST,13,$747
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, July 4, 2021",10:32 AM EST,12,$876
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, July 2, 2021",7:04 PM EST,6,$645
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, July 2, 2021",1:58 PM EST,7,$750
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, July 1, 2021",4:45 AM EST,10,$550
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, June 30, 2021",11:02 AM EST,8,$690
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, June 29, 2021",3:24 PM EST,11,$650
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, June 26, 2021",11:55 AM EST,14,$702
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, June 26, 2021",11:54 AM EST,8,$560
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, June 25, 2021",7:35 PM EST,6,$648
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 24, 2021",2:03 PM EST,9,$680
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 24, 2021",12:31 PM EST,11,$600
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 24, 2021",12:31 PM EST,10,$570
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 24, 2021",4:59 AM EST,10,$585
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, June 21, 2021",10:20 AM EST,7,$660
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, June 16, 2021",9:25 AM EST,12,$510
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, June 15, 2021",4:59 PM EST,5,$630
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, June 14, 2021",10:36 AM EST,10,$665
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, June 12, 2021",10:15 PM EST,10,$648
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 10, 2021",2:33 PM EST,6,$550
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 10, 2021",2:32 PM EST,5,$500
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, June 8, 2021",2:16 PM EST,9,$738
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, June 8, 2021",11:25 AM EST,9,"$1,001"
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, June 7, 2021",2:37 AM EST,11,$750
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, June 6, 2021",3:17 PM EST,9,$710
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, June 6, 2021",3:16 PM EST,4,"$1,099"
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, June 6, 2021",2:52 AM EST,13,$968
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, June 5, 2021",7:12 PM EST,6,$679
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, June 5, 2021",2:15 PM EST,11,$690
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, June 5, 2021",1:45 PM EST,11,$675
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, June 3, 2021",1:10 PM EST,10,$709
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, June 2, 2021",8:25 PM EST,7,$641
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, May 31, 2021",3:18 AM EST,5,$426
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, May 30, 2021",3:40 PM EST,10,$700
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, May 29, 2021",10:42 PM EST,9,$813
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, May 29, 2021",10:13 PM EST,9,$938
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, May 29, 2021",2:16 AM EST,10,$600
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, May 28, 2021",2:13 PM EST,9,$675
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, May 27, 2021",12:33 PM EST,10,$565
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, May 27, 2021",5:02 AM EST,10,$502
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, May 26, 2021",7:42 PM EST,10,$524
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, May 26, 2021",2:58 PM EST,4,$571
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, May 24, 2021",3:51 AM EST,6,$760
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, May 19, 2021",2:37 PM EST,9,$550
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, May 17, 2021",11:54 PM EST,12,$599
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, May 17, 2021",5:22 PM EST,10,$699
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, May 17, 2021",2:13 PM EST,10,$694
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, May 17, 2021",11:04 AM EST,9,$562
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, May 14, 2021",10:01 AM EST,10,$645
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, May 13, 2021",9:15 PM EST,4,$555
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, May 13, 2021",2:29 PM EST,12,$599
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, May 12, 2021",12:10 PM EST,6,$750
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, May 9, 2021",1:13 PM EST,6,$757
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, May 8, 2021",12:59 PM EST,13,$798
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, May 8, 2021",1:26 AM EST,12,$650
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, May 7, 2021",5:38 AM EST,9,$650
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, May 6, 2021",10:19 AM EST,5,$450
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Thursday, May 6, 2021",4:06 AM EST,11,$700
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, May 5, 2021",8:57 AM EST,9,$700
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, May 4, 2021",11:55 PM EST,11,$650
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, May 4, 2021",4:31 PM EST,6,$700
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, May 4, 2021",2:15 PM EST,9,$590
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Saturday, May 1, 2021",3:00 PM EST,11,$668
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, April 30, 2021",4:40 PM EST,12,$635
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, April 30, 2021",12:48 PM EST,8,$842
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Friday, April 30, 2021",3:57 AM EST,5,$679
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, April 28, 2021",10:15 AM EST,6,$650
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Wednesday, April 28, 2021",1:26 AM EST,10,$693
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, April 27, 2021",1:18 PM EST,11,$740
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Tuesday, April 27, 2021",3:29 AM EST,10,$691
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, April 26, 2021",10:45 PM EST,8,$843
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, April 26, 2021",5:36 AM EST,9,$650
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Monday, April 26, 2021",5:11 AM EST,9,$601
adidas Yeezy Foam RNNR Ararat,YZY-ADYFRAWW,"Sunday, April 25, 2021",8:33 PM EST,10,$664
