name,ticker,date,time,size,price
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",8:16 PM EST,9,$200
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",8:07 PM EST,9,$205
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",7:18 PM EST,13,$243
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",6:26 PM EST,7,$190
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",3:59 PM EST,12,$201
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",3:34 PM EST,12,$221
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, July 6, 2021",2:23 PM EST,5,$100
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, July 5, 2021",8:53 PM EST,7,$183
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, July 5, 2021",8:26 PM EST,12,$225
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, July 5, 2021",7:11 PM EST,10.5,$254
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, July 5, 2021",5:55 PM EST,11,$282
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, July 5, 2021",11:38 AM EST,15,$225
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Sunday, July 4, 2021",11:49 PM EST,10.5,$253
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Sunday, July 4, 2021",10:58 PM EST,16,$188
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Saturday, July 3, 2021",10:10 PM EST,9,$217
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Saturday, July 3, 2021",8:33 AM EST,8,$171
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Friday, July 2, 2021",9:47 PM EST,6,$197
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Thursday, July 1, 2021",11:53 PM EST,5,$214
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Thursday, July 1, 2021",2:00 AM EST,8.5,$245
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Wednesday, June 30, 2021",7:06 PM EST,10,$208
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Wednesday, June 30, 2021",10:33 AM EST,7.5,$202
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, June 29, 2021",8:21 PM EST,8,$166
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, June 29, 2021",2:14 PM EST,13,$255
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Tuesday, June 29, 2021",12:18 PM EST,17,$125
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, June 28, 2021",2:32 PM EST,5,$171
adidas Yeezy QNTM (Lifestyle Model),YZY-QNTM,"Monday, June 28, 2021",1:55 PM EST,8.5,$263
