name,ticker,date,time,size,price
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, June 25, 2021",4:04 PM EST,4K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, June 2, 2021",12:31 AM EST,6K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, June 2, 2021",11:07 PM EST,6K,$114
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, May 18, 2021",12:47 PM EST,8K,$72
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, May 7, 2021",9:37 PM EST,7K,$223
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, May 4, 2021",2:09 PM EST,6.5K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, April 30, 2021",3:22 PM EST,8K,$150
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, April 19, 2021",7:00 PM EST,8K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, April 19, 2021",5:00 PM EST,9.5K,$76
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, April 9, 2021",10:44 PM EST,5K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, April 3, 2021",11:40 PM EST,4K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, March 29, 2021",11:10 AM EST,7.5K,$256
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, March 24, 2021",11:12 PM EST,8K,$130
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, March 24, 2021",5:03 PM EST,8K,$110
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, March 22, 2021",4:42 PM EST,7K,$81
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, March 22, 2021",1:01 PM EST,10K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, March 20, 2021",6:01 PM EST,6K,$126
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, March 20, 2021",3:28 PM EST,9K,$173
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, March 18, 2021",7:22 AM EST,7.5K,$158
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, March 17, 2021",10:39 AM EST,9K,$101
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, March 16, 2021",9:46 PM EST,6K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, March 13, 2021",4:49 PM EST,9K,$128
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, March 13, 2021",3:18 PM EST,4K,$120
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, March 7, 2021",3:07 PM EST,5K,$130
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, March 6, 2021",9:50 AM EST,6K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, March 5, 2021",4:22 PM EST,9K,$110
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, March 2, 2021",11:33 AM EST,10K,$101
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, February 28, 2021",12:36 PM EST,5.5K,$124
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, February 26, 2021",2:59 PM EST,10K,$80
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, February 25, 2021",5:38 PM EST,8K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, February 19, 2021",12:48 AM EST,7K,$80
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, February 5, 2021",7:57 PM EST,6K,$126
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, February 2, 2021",8:47 AM EST,5.5K,$112
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, January 18, 2021",8:13 PM EST,6K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, January 18, 2021",3:29 PM EST,9.5K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, January 14, 2021",2:32 PM EST,7K,$167
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, January 13, 2021",12:45 AM EST,7K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, January 12, 2021",2:41 AM EST,10K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, January 4, 2021",7:44 AM EST,8K,$170
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, December 31, 2020",2:24 PM EST,10K,$124
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, December 30, 2020",10:34 AM EST,4K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, December 24, 2020",4:17 AM EST,4K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, December 23, 2020",9:10 AM EST,9K,$120
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, December 23, 2020",8:43 AM EST,8.5K,$171
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, December 21, 2020",11:20 PM EST,7K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, December 18, 2020",12:32 AM EST,9K,$112
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, December 18, 2020",9:41 PM EST,9K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, December 18, 2020",4:25 PM EST,8K,$189
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, December 18, 2020",8:25 AM EST,8K,$188
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, December 16, 2020",6:07 PM EST,5.5K,$95
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, December 15, 2020",1:08 PM EST,4K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, December 15, 2020",12:02 PM EST,8K,$165
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, December 13, 2020",8:28 PM EST,8K,$160
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, December 13, 2020",6:45 PM EST,8K,$140
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, December 12, 2020",8:31 PM EST,6K,$120
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, December 8, 2020",2:08 PM EST,8K,$135
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, December 6, 2020",10:29 PM EST,7K,$80
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, December 2, 2020",9:46 PM EST,10K,$110
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, December 1, 2020",12:35 PM EST,6K,$135
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, November 27, 2020",11:46 PM EST,6.5K,$111
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, November 25, 2020",1:31 PM EST,5.5K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, November 25, 2020",3:03 AM EST,8K,$149
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, November 25, 2020",2:29 AM EST,8.5K,$163
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, November 23, 2020",12:19 PM EST,8.5K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, November 17, 2020",4:46 PM EST,8K,$140
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, November 15, 2020",11:53 PM EST,8K,$137
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, November 15, 2020",8:44 PM EST,6K,$138
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, November 11, 2020",7:34 PM EST,9.5K,$62
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, November 10, 2020",9:49 PM EST,6K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, November 10, 2020",6:08 PM EST,9.5K,$134
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, November 10, 2020",6:06 PM EST,9.5K,$130
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, November 4, 2020",8:46 AM EST,10K,$138
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, November 1, 2020",12:59 AM EST,6K,$118
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Tuesday, October 27, 2020",8:01 AM EST,9K,$120
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 26, 2020",8:34 PM EST,9K,$105
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 26, 2020",1:17 PM EST,6.5K,$110
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 26, 2020",1:03 AM EST,9K,$105
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, October 24, 2020",6:33 PM EST,10K,$120
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, October 23, 2020",8:22 PM EST,5K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 19, 2020",8:31 AM EST,5K,$148
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Sunday, October 18, 2020",6:19 PM EST,8.5K,$174
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, October 17, 2020",12:03 PM EST,7K,$90
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, October 16, 2020",12:37 PM EST,5K,$159
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, October 15, 2020",12:12 AM EST,7K,$150
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 12, 2020",11:15 PM EST,8.5K,$131
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 12, 2020",11:14 PM EST,8K,$131
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 12, 2020",11:14 PM EST,8K,$130
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, October 10, 2020",7:40 PM EST,4K,$164
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, October 10, 2020",3:27 PM EST,10K,$158
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Saturday, October 10, 2020",1:10 PM EST,5K,$143
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, October 8, 2020",11:10 AM EST,10K,$100
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, October 7, 2020",2:53 PM EST,9K,$125
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, October 7, 2020",2:01 PM EST,10K,$157
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 5, 2020",4:27 PM EST,7K,$170
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, October 5, 2020",6:53 AM EST,4K,$163
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Thursday, October 1, 2020",8:13 PM EST,7.5K,$199
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, September 30, 2020",10:34 PM EST,10K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Wednesday, September 30, 2020",10:20 PM EST,9K,$165
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, September 28, 2020",10:57 AM EST,9K,$140
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Friday, September 25, 2020",5:05 PM EST,10K,$115
adidas Yeezy QNTM Lifestyle Model (Infants),YZY-QNTMI,"Monday, September 21, 2020",4:51 PM EST,5K,$95
