name,ticker,date,time,size,price
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Monday, June 14, 2021",6:34 PM EST,2Y,$155
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Sunday, June 13, 2021",10:15 PM EST,3.5Y,$295
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Monday, May 31, 2021",12:51 AM EST,1Y,$120
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Thursday, May 20, 2021",11:20 AM EST,2Y,$150
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Monday, May 10, 2021",8:16 AM EST,11K,$146
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Monday, May 3, 2021",6:46 PM EST,3Y,$170
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Sunday, May 2, 2021",9:32 PM EST,2Y,$150
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Thursday, April 29, 2021",7:56 PM EST,3Y,$109
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Friday, April 16, 2021",10:39 PM EST,13K,$205
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Sunday, April 11, 2021",12:18 PM EST,1Y,$140
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Saturday, April 10, 2021",11:12 PM EST,12K,$200
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Friday, April 9, 2021",6:27 PM EST,12K,$145
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Tuesday, April 6, 2021",11:15 AM EST,2Y,$175
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Tuesday, March 30, 2021",10:54 PM EST,3Y,$185
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Saturday, March 27, 2021",12:11 PM EST,2Y,$162
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Sunday, March 21, 2021",7:17 PM EST,3.5Y,$195
adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,"Thursday, March 18, 2021",4:08 PM EST,3.5Y,$151
