name,ticker,date,time,size,price
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Wednesday, July 7, 2021",1:49 AM EST,8,$345
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Tuesday, July 6, 2021",3:16 AM EST,6,$380
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Thursday, July 1, 2021",1:00 AM EST,8,$368
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Wednesday, June 30, 2021",9:26 AM EST,9,$298
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Wednesday, June 30, 2021",8:56 AM EST,9,$289
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Monday, June 28, 2021",2:59 PM EST,6,$568
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Monday, June 28, 2021",12:54 PM EST,10,$355
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Sunday, June 27, 2021",10:00 AM EST,10,$301
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Saturday, June 26, 2021",3:34 PM EST,8,$301
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Friday, June 25, 2021",1:06 PM EST,11,$381
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Friday, June 25, 2021",1:47 AM EST,8,$387
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Thursday, June 24, 2021",12:23 PM EST,8,$373
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Wednesday, June 23, 2021",7:59 PM EST,6,$489
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Wednesday, June 23, 2021",4:14 PM EST,10,$305
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Wednesday, June 23, 2021",3:22 PM EST,10,$328
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Sunday, June 20, 2021",7:54 PM EST,6,$397
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Sunday, June 20, 2021",3:54 PM EST,6,$337
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Sunday, June 20, 2021",8:33 AM EST,11,$345
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Saturday, June 19, 2021",10:31 PM EST,11,$300
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Friday, June 18, 2021",3:12 PM EST,9,$381
adidas Yeezy Slide Earth Brown,YZY-YESEBEE,"Friday, June 18, 2021",2:18 AM EST,12,$459
