name,ticker,date,time,size,price
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, July 6, 2021",10:39 AM EST,6.5,$850
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, July 5, 2021",1:15 PM EST,11,"$1,179"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, July 4, 2021",8:43 AM EST,11,$950
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, June 29, 2021",6:25 PM EST,7,$607
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, June 28, 2021",5:05 AM EST,7,$678
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, June 25, 2021",12:09 PM EST,8,"$1,212"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, June 23, 2021",11:42 AM EST,10,"$1,150"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, June 22, 2021",1:20 PM EST,9,$990
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, June 21, 2021",2:36 AM EST,6.5,$800
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, June 16, 2021",10:43 AM EST,9,$900
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, June 3, 2021",2:08 AM EST,6,"$1,127"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, June 2, 2021",3:30 PM EST,12.5,"$1,176"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, May 30, 2021",11:49 AM EST,9,$974
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, May 27, 2021",4:53 PM EST,9.5,"$1,071"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, May 13, 2021",5:10 PM EST,10,$960
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, May 9, 2021",6:12 AM EST,7.5,$951
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, May 8, 2021",4:12 PM EST,8,"$1,000"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, May 5, 2021",12:50 PM EST,10.5,"$1,100"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, May 2, 2021",8:17 PM EST,10.5,"$1,140"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, April 30, 2021",7:14 PM EST,7,$978
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, April 28, 2021",12:22 PM EST,12,"$1,000"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, April 12, 2021",4:58 PM EST,9,"$1,000"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, April 11, 2021",1:41 PM EST,10,"$1,001"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, April 7, 2021",1:39 PM EST,12,"$1,165"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, March 31, 2021",4:50 PM EST,10,$976
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, March 22, 2021",6:56 AM EST,9.5,"$1,135"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, March 18, 2021",6:51 PM EST,10.5,"$1,300"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, March 17, 2021",2:50 PM EST,11,"$1,177"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, March 13, 2021",6:39 AM EST,6.5,$689
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, March 11, 2021",11:56 AM EST,9,$954
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, March 11, 2021",10:35 AM EST,4,$735
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, March 11, 2021",5:58 AM EST,10,"$1,100"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, March 9, 2021",12:47 PM EST,10.5,"$1,109"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, March 6, 2021",8:01 AM EST,10.5,$916
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, March 4, 2021",10:04 PM EST,10,$875
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, March 4, 2021",3:19 AM EST,9,"$1,157"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, March 2, 2021",5:29 PM EST,13,"$1,103"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, February 24, 2021",11:10 AM EST,9,$800
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, February 21, 2021",3:19 PM EST,12,$801
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, February 19, 2021",5:08 PM EST,8,"$1,092"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, February 18, 2021",11:47 PM EST,10.5,"$1,110"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, February 17, 2021",9:24 AM EST,9.5,$896
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, February 15, 2021",8:24 AM EST,10.5,"$1,068"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, February 14, 2021",2:42 PM EST,11,"$1,155"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, February 14, 2021",3:33 AM EST,10,$965
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, February 13, 2021",6:27 AM EST,11.5,$906
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, February 8, 2021",11:44 AM EST,10.5,$950
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, February 6, 2021",8:02 PM EST,13,"$1,000"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, February 6, 2021",12:52 PM EST,9,$990
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, February 3, 2021",10:52 PM EST,10.5,"$1,056"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, February 3, 2021",8:11 PM EST,10.5,"$1,055"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, February 2, 2021",9:41 PM EST,8.5,"$1,031"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, January 30, 2021",2:40 AM EST,10.5,$930
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, January 30, 2021",1:22 AM EST,9,$800
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, January 29, 2021",2:49 AM EST,9,$925
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, January 23, 2021",4:06 PM EST,8,"$1,056"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, January 21, 2021",5:27 PM EST,10,"$1,200"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, January 20, 2021",9:55 AM EST,10,"$1,150"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, January 19, 2021",9:43 PM EST,8.5,$822
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, January 18, 2021",8:44 AM EST,6.5,$642
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, January 11, 2021",9:10 PM EST,10.5,"$1,064"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, January 11, 2021",8:57 PM EST,10,"$1,417"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, January 11, 2021",3:28 AM EST,11.5,"$1,062"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, January 9, 2021",9:21 PM EST,10,"$1,300"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, January 6, 2021",5:55 PM EST,11.5,"$1,061"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, January 5, 2021",1:55 PM EST,8,$910
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, January 4, 2021",6:31 PM EST,10.5,$931
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 30, 2020",2:36 PM EST,12,"$1,411"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 30, 2020",5:06 AM EST,9.5,"$1,100"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, December 29, 2020",12:33 PM EST,8,$950
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, December 26, 2020",10:51 PM EST,12,"$1,200"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, December 25, 2020",6:06 AM EST,12,"$1,267"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 23, 2020",6:40 PM EST,9,$850
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 23, 2020",11:45 AM EST,9.5,"$1,098"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 23, 2020",10:22 AM EST,9.5,"$1,049"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, December 21, 2020",9:23 PM EST,7,$711
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, December 18, 2020",9:19 PM EST,9.5,$991
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 16, 2020",7:41 PM EST,9,"$1,221"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, December 14, 2020",2:28 PM EST,8,$951
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, December 13, 2020",5:33 PM EST,9,"$1,200"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, December 13, 2020",1:52 PM EST,12,"$1,080"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, December 12, 2020",5:25 PM EST,10.5,$992
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, December 10, 2020",5:26 AM EST,11.5,$998
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 9, 2020",8:56 PM EST,9,"$1,050"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, December 8, 2020",2:31 PM EST,11.5,"$1,016"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, December 4, 2020",8:04 PM EST,10.5,"$1,040"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, December 2, 2020",10:21 AM EST,8.5,$750
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, November 30, 2020",7:33 PM EST,6,$800
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, November 30, 2020",11:08 AM EST,7.5,$652
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, November 30, 2020",3:22 AM EST,9,"$1,050"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, November 29, 2020",9:44 PM EST,9.5,$940
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, November 26, 2020",5:55 PM EST,8,$834
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, November 22, 2020",1:19 PM EST,11.5,$830
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Tuesday, November 17, 2020",1:50 PM EST,4.5,"$1,121"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, November 13, 2020",11:26 PM EST,9,$809
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, November 13, 2020",4:16 PM EST,8,$875
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, November 11, 2020",3:48 AM EST,9,$801
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Monday, November 9, 2020",6:57 AM EST,8.5,"$1,482"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, October 31, 2020",1:59 PM EST,11.5,$900
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, October 30, 2020",9:18 PM EST,10,"$1,100"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, October 30, 2020",6:06 PM EST,10.5,$700
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Wednesday, October 21, 2020",10:59 AM EST,9.5,$900
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Sunday, October 18, 2020",5:55 PM EST,11,$820
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Saturday, October 17, 2020",4:47 PM EST,11,"$1,456"
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Friday, October 9, 2020",9:25 AM EST,7,$751
adidas Yeezy Boost 350 Moonrock,YZY350-MNRCK,"Thursday, October 8, 2020",11:50 PM EST,11.5,"$1,065"
