name,ticker,date,time,size,price
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Tuesday, July 6, 2021",10:46 PM EST,8.5,$650
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Tuesday, June 29, 2021",6:33 PM EST,11.5,$750
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Tuesday, June 29, 2021",2:04 AM EST,9.5,$890
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Friday, June 25, 2021",3:38 PM EST,7.5,$850
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Wednesday, June 23, 2021",11:59 AM EST,10.5,$830
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Saturday, June 19, 2021",2:43 AM EST,11,"$1,125"
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Thursday, June 17, 2021",8:00 AM EST,10,$900
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Wednesday, June 16, 2021",8:06 PM EST,10.5,$865
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Tuesday, June 15, 2021",7:53 PM EST,8.5,$873
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Sunday, June 13, 2021",1:57 PM EST,7.5,$577
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Saturday, June 12, 2021",2:58 PM EST,8.5,$840
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Friday, June 4, 2021",10:09 AM EST,10,$766
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Monday, May 31, 2021",11:33 AM EST,9.5,$989
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Thursday, May 27, 2021",7:58 PM EST,9.5,$966
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Monday, May 24, 2021",2:22 PM EST,9,$923
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Monday, May 24, 2021",12:36 PM EST,10,$750
adidas Yeezy Boost 350 Oxford Tan,YZY350-OXTAN,"Saturday, May 22, 2021",4:56 PM EST,8.5,$850
