name,ticker,date,time,size,price
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Tuesday, June 29, 2021",1:54 AM EST,9,$875
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Sunday, June 27, 2021",7:21 PM EST,10.5,"$1,048"
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Thursday, June 24, 2021",9:13 PM EST,10,"$1,149"
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Saturday, June 19, 2021",9:10 PM EST,7.5,$885
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Friday, June 18, 2021",12:43 PM EST,9,$870
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Sunday, June 13, 2021",5:46 PM EST,8.5,$995
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Sunday, June 13, 2021",1:11 PM EST,9,$900
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Wednesday, June 9, 2021",11:13 PM EST,9,$900
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Saturday, June 5, 2021",4:31 PM EST,9.5,$800
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Thursday, June 3, 2021",2:40 PM EST,9,$875
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Thursday, June 3, 2021",2:39 PM EST,10,"$1,000"
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Sunday, May 30, 2021",4:53 PM EST,10,$810
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Monday, May 24, 2021",8:13 PM EST,10.5,"$1,012"
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Monday, May 24, 2021",5:44 PM EST,7,$800
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Saturday, May 22, 2021",10:46 PM EST,7,$970
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Saturday, May 22, 2021",1:18 PM EST,10.5,"$1,000"
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Monday, May 17, 2021",1:28 PM EST,9.5,$900
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Friday, May 7, 2021",7:02 AM EST,11.5,$874
adidas Yeezy Boost 350 Pirate Black (2015),YZY350-PRTBLK,"Sunday, May 2, 2021",8:17 PM EST,10.5,"$1,154"
