name,ticker,date,time,size,price
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Monday, July 5, 2021",12:12 AM EST,8,$915
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Thursday, July 1, 2021",11:44 AM EST,13,$900
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Wednesday, June 30, 2021",1:46 PM EST,7.5,$789
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Saturday, June 26, 2021",10:04 PM EST,12,$900
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Wednesday, June 23, 2021",5:28 PM EST,11.5,"$1,113"
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Tuesday, June 22, 2021",2:04 PM EST,8.5,$820
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Sunday, June 20, 2021",10:14 PM EST,10.5,"$1,045"
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Sunday, June 20, 2021",10:13 PM EST,11.5,"$1,098"
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Sunday, June 20, 2021",5:16 PM EST,8,$900
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Thursday, June 17, 2021",2:02 AM EST,9,$970
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Wednesday, June 16, 2021",8:03 PM EST,8.5,$958
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Wednesday, June 16, 2021",5:19 AM EST,10,"$1,179"
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Sunday, June 13, 2021",2:50 PM EST,9.5,$930
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Monday, June 7, 2021",10:41 AM EST,9.5,$875
adidas Yeezy Boost 350 Pirate Black (2016),YZY350-PRTBLK16,"Sunday, June 6, 2021",1:43 PM EST,10,"$1,114"
