name,ticker,date,time,size,price
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Tuesday, July 6, 2021",7:00 AM EST,9,"$1,662"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, July 4, 2021",3:46 PM EST,8,"$1,420"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, July 4, 2021",1:50 PM EST,7,"$1,685"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, July 4, 2021",9:52 AM EST,12,"$1,350"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Friday, July 2, 2021",9:29 PM EST,10,"$1,700"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Friday, July 2, 2021",4:12 PM EST,11,"$1,555"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Saturday, June 26, 2021",2:39 PM EST,12,"$1,776"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Friday, June 25, 2021",2:45 PM EST,11,"$1,790"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Thursday, June 17, 2021",2:51 PM EST,11,"$1,700"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Wednesday, June 16, 2021",8:28 AM EST,9,"$1,840"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Saturday, June 12, 2021",2:57 PM EST,9,"$1,871"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Friday, June 4, 2021",1:01 AM EST,11,"$1,799"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Wednesday, June 2, 2021",8:31 AM EST,10,"$1,748"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, May 30, 2021",3:49 PM EST,9,"$1,600"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Thursday, May 27, 2021",4:20 PM EST,12,"$1,350"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Thursday, May 20, 2021",6:55 AM EST,11,"$1,938"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Wednesday, May 19, 2021",6:05 PM EST,11,"$1,501"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Wednesday, May 12, 2021",10:45 AM EST,11,"$1,738"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Saturday, May 8, 2021",12:58 PM EST,11,"$1,790"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Monday, April 26, 2021",5:34 PM EST,10,"$1,650"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, April 25, 2021",3:29 PM EST,10,"$1,450"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Monday, April 19, 2021",9:10 AM EST,12,"$1,841"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Wednesday, April 14, 2021",9:42 AM EST,10,"$1,632"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Friday, April 9, 2021",10:38 PM EST,10,"$1,680"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Wednesday, April 7, 2021",12:16 AM EST,10,"$1,574"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Thursday, April 1, 2021",11:39 AM EST,11,"$1,687"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, March 28, 2021",9:53 AM EST,12,"$1,765"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Sunday, March 21, 2021",3:48 AM EST,10,"$1,675"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Thursday, March 18, 2021",11:59 AM EST,11,"$1,698"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Monday, March 15, 2021",12:13 AM EST,12,"$1,795"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Saturday, March 13, 2021",4:51 PM EST,11,"$1,450"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Saturday, March 13, 2021",9:26 AM EST,12,"$1,601"
adidas Yeezy Boost 350 Turtledove,YZY350-TRTLDV,"Tuesday, March 9, 2021",9:34 PM EST,9,"$1,787"
