name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Tuesday, July 6, 2021",6:17 PM EST,9,$342
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Tuesday, July 6, 2021",5:59 PM EST,11,$330
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Tuesday, July 6, 2021",5:34 PM EST,8.5,$415
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Tuesday, July 6, 2021",12:29 PM EST,8.5,$403
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Monday, July 5, 2021",2:37 PM EST,10,$353
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Monday, July 5, 2021",2:14 PM EST,11,$434
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Monday, July 5, 2021",6:42 AM EST,10,$390
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Sunday, July 4, 2021",10:02 PM EST,10.5,$397
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Sunday, July 4, 2021",12:14 PM EST,12,$383
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Saturday, July 3, 2021",4:07 PM EST,4.5,$600
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Saturday, July 3, 2021",3:50 PM EST,10,$348
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Saturday, July 3, 2021",1:40 PM EST,9.5,$343
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Friday, July 2, 2021",9:48 PM EST,7.5,$461
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Friday, July 2, 2021",5:50 PM EST,9,$360
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Friday, July 2, 2021",2:36 PM EST,9,$342
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Friday, July 2, 2021",10:25 AM EST,12,$394
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Thursday, July 1, 2021",9:52 PM EST,11.5,$355
adidas Yeezy Boost 350 V2 Butter,YZY350BV2-BTTR,"Wednesday, June 30, 2021",10:57 PM EST,11,$375
