name,ticker,date,time,size,price
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Tuesday, July 6, 2021",9:55 PM EST,10,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Monday, July 5, 2021",1:29 AM EST,9,$205
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Sunday, July 4, 2021",5:52 PM EST,11.5,$194
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Saturday, July 3, 2021",2:35 AM EST,12,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Friday, July 2, 2021",11:15 PM EST,10.5,$199
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, July 1, 2021",10:06 PM EST,9,$205
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, July 1, 2021",8:50 PM EST,12.5,$230
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, July 1, 2021",7:34 PM EST,11,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, July 1, 2021",2:38 PM EST,10,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, July 1, 2021",2:32 PM EST,10.5,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 30, 2021",9:58 PM EST,10.5,$215
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 30, 2021",6:08 PM EST,11,$220
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 30, 2021",5:59 PM EST,9.5,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 30, 2021",5:10 PM EST,11,$180
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Monday, June 28, 2021",12:14 PM EST,9.5,$220
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Sunday, June 27, 2021",9:32 PM EST,10.5,$210
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Sunday, June 27, 2021",8:59 AM EST,11,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Sunday, June 27, 2021",4:44 AM EST,10,$215
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Saturday, June 26, 2021",11:02 PM EST,9.5,$215
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Saturday, June 26, 2021",8:29 AM EST,9,$215
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 24, 2021",5:59 PM EST,13,$180
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 24, 2021",5:57 PM EST,12,$185
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 24, 2021",3:16 PM EST,13,$200
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Tuesday, June 22, 2021",10:11 PM EST,12,$260
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Tuesday, June 22, 2021",10:10 PM EST,12,$229
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Tuesday, June 22, 2021",6:01 PM EST,10.5,$150
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Tuesday, June 22, 2021",8:07 AM EST,10.5,$229
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Saturday, June 19, 2021",10:37 PM EST,10,$220
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 17, 2021",7:24 PM EST,11,$230
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 17, 2021",12:50 PM EST,10.5,$229
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 17, 2021",12:25 PM EST,9.5,$240
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 16, 2021",11:19 PM EST,10.5,$206
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 16, 2021",1:14 PM EST,14,$275
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 16, 2021",12:11 PM EST,11,$241
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 16, 2021",12:11 PM EST,9,$250
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Wednesday, June 16, 2021",11:54 AM EST,11.5,$179
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Friday, June 11, 2021",11:28 AM EST,12,$280
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 10, 2021",4:48 PM EST,10.5,$260
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Thursday, June 10, 2021",3:22 PM EST,11,$300
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Monday, June 7, 2021",2:12 AM EST,10.5,$289
adidas Yeezy 350 Cleat Turtledove,YZY350C-TRTLDV,"Sunday, June 6, 2021",5:49 PM EST,10.5,$255
