name,ticker,date,time,size,price
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, June 22, 2021",6:10 AM EST,8K,$225
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, June 20, 2021",3:58 PM EST,6K,$247
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, June 19, 2021",12:35 PM EST,5K,$230
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, June 15, 2021",2:06 AM EST,8K,$210
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, June 7, 2021",3:40 AM EST,8K,$209
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, June 5, 2021",9:11 PM EST,8K,$209
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Thursday, June 3, 2021",12:57 PM EST,5K,$234
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, May 29, 2021",6:58 PM EST,9K,$250
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, May 29, 2021",4:28 PM EST,8K,$180
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, May 18, 2021",9:09 PM EST,8K,$206
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, April 3, 2021",7:23 PM EST,9K,$203
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, March 30, 2021",5:48 PM EST,9K,$212
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, March 29, 2021",11:21 PM EST,10K,$140
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, March 27, 2021",9:54 AM EST,7K,$180
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Wednesday, March 24, 2021",5:36 PM EST,7K,$170
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, March 22, 2021",4:43 PM EST,7K,$150
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, March 20, 2021",12:18 AM EST,9K,$224
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Wednesday, March 17, 2021",12:34 AM EST,6K,$251
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, March 16, 2021",2:10 PM EST,7K,$155
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, March 7, 2021",6:34 PM EST,10K,$230
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Thursday, March 4, 2021",6:57 AM EST,8K,$217
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, March 1, 2021",10:35 PM EST,10K,$252
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Wednesday, February 24, 2021",9:56 AM EST,5K,$250
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, February 23, 2021",6:24 PM EST,6K,$183
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, February 20, 2021",3:46 PM EST,10K,$200
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, February 14, 2021",1:18 AM EST,6K,$200
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Friday, January 29, 2021",12:28 AM EST,8K,$215
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, January 24, 2021",1:27 PM EST,10K,$257
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Saturday, January 9, 2021",9:52 AM EST,7K,$200
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Thursday, January 7, 2021",10:30 AM EST,6K,$209
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, December 20, 2020",4:04 AM EST,9K,$217
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, December 13, 2020",2:06 AM EST,5K,$283
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, November 30, 2020",1:37 PM EST,6K,$205
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, November 30, 2020",3:26 AM EST,6K,$210
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Friday, October 30, 2020",9:06 PM EST,6K,$245
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, October 27, 2020",6:47 AM EST,8K,$150
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, October 11, 2020",2:28 PM EST,7K,$265
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, September 27, 2020",5:22 AM EST,8K,$213
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Sunday, September 20, 2020",6:09 PM EST,9K,$215
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Monday, September 14, 2020",12:32 PM EST,8K,$216
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Tuesday, September 8, 2020",3:30 PM EST,8K,$180
adidas Yeezy Boost 350 Pirate Black (Infant),YZY350I-PRTBLK,"Wednesday, September 2, 2020",8:12 PM EST,5K,$225
