name,ticker,date,time,size,price
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Thursday, June 10, 2021",6:57 PM EST,9K,$191
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Thursday, June 10, 2021",10:49 AM EST,5K,$236
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Saturday, May 29, 2021",12:04 PM EST,10K,$240
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Sunday, May 16, 2021",10:21 AM EST,7K,$299
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Saturday, May 15, 2021",10:59 AM EST,9K,$195
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Friday, May 14, 2021",2:16 PM EST,8K,$284
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Tuesday, May 11, 2021",3:05 AM EST,8K,$260
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Saturday, May 8, 2021",11:41 AM EST,10K,$248
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Saturday, May 1, 2021",11:13 AM EST,7K,$275
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Monday, April 26, 2021",8:29 PM EST,6K,$253
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Saturday, April 24, 2021",6:18 PM EST,5K,$253
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Tuesday, April 20, 2021",11:31 AM EST,9K,$224
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Wednesday, April 14, 2021",1:22 AM EST,7K,$225
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Tuesday, April 13, 2021",1:40 PM EST,9K,$150
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Friday, April 9, 2021",10:58 PM EST,5K,$253
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Thursday, March 25, 2021",3:06 AM EST,5K,$221
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Wednesday, March 24, 2021",5:44 PM EST,6K,$235
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Saturday, March 6, 2021",5:17 PM EST,8K,$202
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Friday, March 5, 2021",11:26 AM EST,9K,$269
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Thursday, March 4, 2021",8:06 PM EST,10K,$217
adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,"Sunday, February 28, 2021",9:00 PM EST,5K,$222
