name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Tuesday, July 6, 2021",10:12 AM EST,10,$670
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Tuesday, July 6, 2021",2:51 AM EST,9,$610
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Monday, July 5, 2021",8:46 PM EST,5.5,$864
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Monday, July 5, 2021",10:14 AM EST,8,$636
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Monday, July 5, 2021",9:28 AM EST,11.5,$714
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Monday, July 5, 2021",5:44 AM EST,11.5,$772
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Monday, July 5, 2021",2:21 AM EST,9.5,$719
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Monday, July 5, 2021",1:33 AM EST,10.5,$600
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Sunday, July 4, 2021",9:57 PM EST,6.5,$891
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Sunday, July 4, 2021",12:58 PM EST,8.5,$617
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Saturday, July 3, 2021",9:31 AM EST,10,$669
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",11:31 PM EST,7.5,$723
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",11:29 PM EST,7,$767
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",12:01 PM EST,10.5,$644
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",11:10 AM EST,13,$987
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",9:05 AM EST,13,$675
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",3:38 AM EST,7.5,$707
adidas Yeezy Boost 350 V2 Beluga 2.0,YZY350V2-BLGA2,"Friday, July 2, 2021",3:36 AM EST,5,$553
