name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Tuesday, July 6, 2021",2:24 PM EST,11,$554
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Tuesday, July 6, 2021",1:59 PM EST,11,$525
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Monday, July 5, 2021",10:07 PM EST,12,$431
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Monday, July 5, 2021",9:56 PM EST,10.5,$423
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Monday, July 5, 2021",12:26 PM EST,6,$624
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Monday, July 5, 2021",12:11 PM EST,8,$503
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Monday, July 5, 2021",11:38 AM EST,11.5,$510
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Sunday, July 4, 2021",4:31 PM EST,10.5,$500
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Sunday, July 4, 2021",11:34 AM EST,8,$406
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Sunday, July 4, 2021",2:54 AM EST,11,$510
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Saturday, July 3, 2021",10:31 PM EST,10.5,$495
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Saturday, July 3, 2021",9:23 PM EST,9,$404
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Saturday, July 3, 2021",3:52 PM EST,9,$474
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Saturday, July 3, 2021",3:44 PM EST,11.5,$558
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Saturday, July 3, 2021",1:00 PM EST,10.5,$443
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Saturday, July 3, 2021",11:07 AM EST,12,$431
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Friday, July 2, 2021",10:50 PM EST,9.5,$473
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Friday, July 2, 2021",10:09 PM EST,10,$500
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Thursday, July 1, 2021",11:04 PM EST,11,$430
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Thursday, July 1, 2021",10:39 PM EST,9.5,$482
adidas Yeezy Boost 350 V2 Blue Tint,YZY350V2-BLUTNT,"Thursday, July 1, 2021",10:10 PM EST,12,$512
