name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, July 6, 2021",2:00 PM EST,10.5,$650
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Sunday, July 4, 2021",3:43 PM EST,8,$660
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Saturday, July 3, 2021",4:05 PM EST,10.5,$750
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, July 1, 2021",1:37 PM EST,9.5,$623
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, July 1, 2021",12:02 PM EST,8,$661
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, July 1, 2021",12:02 PM EST,9,$650
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, July 1, 2021",11:51 AM EST,9,$700
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, June 28, 2021",2:37 PM EST,10.5,$735
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, June 23, 2021",5:18 PM EST,9,$777
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, June 21, 2021",5:01 PM EST,10,$634
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, June 21, 2021",10:08 AM EST,10.5,$610
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Sunday, June 20, 2021",4:40 PM EST,6,$924
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Saturday, June 19, 2021",12:23 PM EST,10.5,$640
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, June 17, 2021",2:37 PM EST,9,$767
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, June 15, 2021",12:35 AM EST,9.5,$700
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, June 15, 2021",12:34 AM EST,10.5,$612
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, June 14, 2021",6:28 AM EST,11,$780
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, June 14, 2021",1:54 AM EST,9.5,$863
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Friday, June 11, 2021",4:24 PM EST,10.5,$690
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, June 8, 2021",2:20 AM EST,13,$819
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Friday, June 4, 2021",7:32 PM EST,13,$760
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, June 2, 2021",10:24 PM EST,9.5,$865
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, June 2, 2021",8:59 PM EST,8.5,$750
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, June 1, 2021",1:50 AM EST,10,$761
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, May 31, 2021",7:42 PM EST,13,$670
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Sunday, May 30, 2021",11:30 AM EST,10.5,$610
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, May 27, 2021",4:29 PM EST,8.5,$636
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, May 27, 2021",1:27 PM EST,7,$734
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, May 27, 2021",1:23 PM EST,10.5,$630
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Thursday, May 27, 2021",1:22 PM EST,6,$713
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, May 25, 2021",4:27 PM EST,9.5,$800
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, May 19, 2021",10:50 PM EST,9.5,$797
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, May 19, 2021",2:26 PM EST,9,$765
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, May 19, 2021",6:37 AM EST,8.5,$700
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Sunday, May 16, 2021",1:20 PM EST,9,$695
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Tuesday, May 11, 2021",7:40 AM EST,11,$600
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Monday, May 10, 2021",11:26 AM EST,8.5,$749
adidas Yeezy Boost 350 V2 Core Black Copper,YZY350V2-CPPR,"Wednesday, May 5, 2021",12:23 AM EST,10,$730
