name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",5:57 PM EST,10.5,$417
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",4:23 PM EST,11.5,$416
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",4:03 PM EST,7,$614
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",3:11 PM EST,10.5,$374
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",3:05 PM EST,7.5,$591
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",3:01 PM EST,8,$560
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",2:36 PM EST,10,$385
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",2:35 PM EST,6.5,$807
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",1:19 PM EST,9.5,$420
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",1:16 PM EST,10,$434
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",11:46 AM EST,6,$685
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",11:16 AM EST,6,$689
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",10:02 AM EST,7.5,$620
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",9:48 AM EST,11,$400
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",9:12 AM EST,6,$689
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",8:20 AM EST,9.5,$435
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",2:30 AM EST,7,$630
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Tuesday, July 6, 2021",2:04 AM EST,12,$426
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Monday, July 5, 2021",10:12 PM EST,11,$456
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Monday, July 5, 2021",8:56 PM EST,11.5,$392
adidas Yeezy Boost 350 V2 Cream/Triple White,YZY350V2-CRMWHT,"Monday, July 5, 2021",8:50 PM EST,10,$357
