name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, July 6, 2021",4:39 AM EST,7.5,$670
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, July 1, 2021",12:21 AM EST,10.5,$559
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, July 1, 2021",10:32 PM EST,12,$725
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, July 1, 2021",11:46 AM EST,11,$660
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, July 1, 2021",11:28 AM EST,9,$700
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, June 30, 2021",4:07 PM EST,10,$748
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Friday, June 25, 2021",2:35 PM EST,7.5,$751
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, June 24, 2021",7:06 PM EST,10.5,$717
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, June 23, 2021",10:17 PM EST,11,$883
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, June 23, 2021",5:15 PM EST,12,$700
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, June 23, 2021",1:43 PM EST,5.5,$575
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, June 23, 2021",10:00 AM EST,9.5,$751
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Monday, June 21, 2021",5:50 PM EST,10,$656
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Friday, June 18, 2021",12:19 AM EST,9.5,$750
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, June 12, 2021",10:05 PM EST,12,$677
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Friday, June 4, 2021",11:11 AM EST,11.5,$800
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, June 3, 2021",8:37 AM EST,9,$756
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Sunday, May 30, 2021",3:48 PM EST,12,$774
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, May 29, 2021",7:57 AM EST,10,$900
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, May 27, 2021",3:45 PM EST,9.5,$779
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, May 25, 2021",11:13 PM EST,12,$710
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, May 25, 2021",10:03 PM EST,8.5,$610
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, May 22, 2021",11:13 PM EST,10,$650
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, May 22, 2021",1:38 PM EST,9.5,$710
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, May 22, 2021",1:21 AM EST,11.5,$850
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, May 20, 2021",3:34 AM EST,6.5,$675
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, May 18, 2021",7:04 PM EST,12.5,$673
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, May 15, 2021",3:46 PM EST,5.5,$615
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, May 13, 2021",1:52 PM EST,8.5,$807
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, May 11, 2021",12:06 AM EST,7,$881
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, May 11, 2021",5:57 PM EST,7.5,$612
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Sunday, May 9, 2021",7:02 PM EST,7,$859
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Sunday, May 2, 2021",12:50 AM EST,6,$866
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, April 29, 2021",9:46 AM EST,10,$651
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Thursday, April 29, 2021",8:45 AM EST,9,$586
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, April 28, 2021",9:56 PM EST,9.5,$730
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Monday, April 26, 2021",7:18 AM EST,9,$587
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Sunday, April 25, 2021",9:24 PM EST,10,$651
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, April 21, 2021",12:37 AM EST,9.5,$715
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, April 21, 2021",5:32 PM EST,9,$683
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Tuesday, April 20, 2021",4:48 PM EST,5.5,$833
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Monday, April 19, 2021",2:56 AM EST,8,$655
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Saturday, April 17, 2021",5:41 PM EST,6.5,$980
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Friday, April 16, 2021",11:15 AM EST,9.5,$605
adidas Yeezy Boost 350 V2 Core Black Green,YZY350V2-GRN,"Wednesday, April 14, 2021",3:10 PM EST,6,$695
