name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, July 6, 2021",8:24 PM EST,8.5,"$1,010"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, July 4, 2021",8:15 AM EST,9,"$1,009"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, July 3, 2021",10:58 AM EST,10,$922
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, July 3, 2021",2:37 AM EST,8,"$1,005"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, July 1, 2021",11:58 AM EST,10.5,$905
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, July 1, 2021",11:54 AM EST,9,"$1,100"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, July 1, 2021",11:53 AM EST,8,$912
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, June 30, 2021",11:24 PM EST,8,"$1,000"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, June 30, 2021",2:20 PM EST,10,"$1,479"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, June 30, 2021",10:45 AM EST,8.5,"$1,242"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, June 29, 2021",4:05 PM EST,8,$912
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, June 26, 2021",10:02 PM EST,7.5,"$1,002"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, June 24, 2021",1:56 PM EST,10,"$1,145"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, June 24, 2021",2:25 AM EST,10,"$1,220"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, June 20, 2021",11:05 PM EST,7,"$1,002"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, June 18, 2021",3:55 PM EST,11,$800
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, June 15, 2021",12:49 AM EST,10.5,$900
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, June 14, 2021",2:16 PM EST,8.5,$969
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, June 12, 2021",8:17 PM EST,12,"$1,510"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, June 12, 2021",11:53 AM EST,11,$975
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, June 9, 2021",6:44 PM EST,10,$900
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, June 9, 2021",1:31 PM EST,10,"$1,076"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, June 9, 2021",1:36 AM EST,9,"$1,070"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, June 7, 2021",11:00 PM EST,9.5,"$1,167"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, May 28, 2021",12:07 AM EST,10.5,"$1,180"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, May 28, 2021",11:42 AM EST,11.5,$827
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, May 28, 2021",11:01 AM EST,10,"$1,200"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 27, 2021",12:18 AM EST,10.5,$831
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 27, 2021",12:18 AM EST,10.5,$850
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, May 24, 2021",3:10 PM EST,9.5,"$1,315"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, May 23, 2021",10:54 PM EST,8.5,"$1,050"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, May 21, 2021",9:05 PM EST,10,$970
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, May 21, 2021",12:27 PM EST,11,"$1,300"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 20, 2021",10:20 AM EST,11,"$1,518"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, May 18, 2021",5:19 PM EST,9,"$1,124"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, May 18, 2021",8:54 AM EST,11,"$1,069"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, May 17, 2021",1:30 PM EST,10.5,"$1,180"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, May 15, 2021",1:16 AM EST,9,$967
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, May 14, 2021",3:09 AM EST,10.5,"$1,174"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, May 12, 2021",12:16 AM EST,11,"$1,380"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, May 12, 2021",11:42 PM EST,10.5,"$1,095"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, May 11, 2021",6:11 PM EST,7.5,$777
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 6, 2021",12:21 AM EST,10.5,"$1,090"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 6, 2021",1:35 PM EST,10.5,"$1,145"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 6, 2021",11:33 AM EST,9.5,$900
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, May 6, 2021",6:49 AM EST,7.5,"$1,500"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, May 5, 2021",5:46 PM EST,10.5,"$1,085"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, May 2, 2021",7:36 PM EST,11,"$1,195"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, May 2, 2021",3:18 AM EST,5.5,"$2,429"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, May 1, 2021",2:18 PM EST,12,"$1,470"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, May 1, 2021",12:54 PM EST,7.5,"$1,700"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, April 24, 2021",6:49 PM EST,9.5,$975
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Saturday, April 24, 2021",3:24 AM EST,7,"$2,647"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, April 23, 2021",12:37 AM EST,6,"$1,894"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, April 23, 2021",5:24 PM EST,8.5,"$1,197"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, April 23, 2021",1:20 PM EST,10,"$1,050"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, April 22, 2021",1:59 AM EST,9,"$1,326"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, April 21, 2021",8:10 PM EST,9,"$1,300"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, April 19, 2021",4:29 PM EST,9,"$1,200"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, April 15, 2021",11:30 AM EST,11,"$1,173"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, April 14, 2021",3:13 PM EST,8.5,$926
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, April 14, 2021",12:52 PM EST,9.5,$925
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, April 13, 2021",12:02 AM EST,10.5,"$1,048"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, April 13, 2021",6:26 PM EST,10,"$1,050"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, April 13, 2021",6:30 AM EST,9,"$1,100"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, April 11, 2021",8:12 PM EST,11,"$1,038"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, April 11, 2021",10:56 AM EST,8.5,"$1,259"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, April 9, 2021",2:46 AM EST,10,"$1,399"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Thursday, April 8, 2021",9:37 AM EST,9.5,"$1,001"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, April 7, 2021",9:45 PM EST,9,"$1,149"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, April 4, 2021",10:57 PM EST,10.5,$850
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, April 4, 2021",4:10 PM EST,10.5,$915
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Friday, April 2, 2021",2:26 PM EST,9,$975
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, March 31, 2021",11:50 PM EST,9.5,"$1,199"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, March 31, 2021",9:07 AM EST,4,"$1,785"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, March 30, 2021",9:03 PM EST,10,$959
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, March 30, 2021",5:59 PM EST,13,$850
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, March 30, 2021",4:25 PM EST,9.5,"$1,191"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Tuesday, March 30, 2021",4:24 PM EST,8.5,"$1,523"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, March 29, 2021",9:09 PM EST,11,"$1,199"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Monday, March 29, 2021",9:32 AM EST,9.5,"$1,249"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, March 28, 2021",11:39 PM EST,10.5,"$1,092"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, March 28, 2021",10:02 PM EST,9.5,"$1,100"
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Sunday, March 28, 2021",11:21 AM EST,11,$821
adidas Yeezy Boost 350 V2 Core Black Red,YZY350V2-RED,"Wednesday, March 24, 2021",1:52 PM EST,10.5,"$1,060"
