name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, July 6, 2021",3:12 PM EST,5.5,$598
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, July 6, 2021",2:07 PM EST,8.5,$445
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, July 6, 2021",12:27 PM EST,10.5,$472
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, July 6, 2021",7:10 AM EST,8,$501
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",9:43 PM EST,10.5,$480
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",9:24 PM EST,9,$416
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",6:58 PM EST,9,$502
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",6:14 PM EST,11,$450
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",5:28 PM EST,7.5,$585
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",1:07 PM EST,10.5,$541
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",12:39 PM EST,10,$410
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",10:32 AM EST,9.5,$519
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",7:09 AM EST,4,$551
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Monday, July 5, 2021",1:48 AM EST,12,$479
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",10:51 PM EST,7.5,$484
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",12:15 PM EST,9.5,$519
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",12:14 PM EST,7,$602
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",12:14 PM EST,6,$690
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",12:13 PM EST,9.5,$484
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",12:13 PM EST,8,$477
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Sunday, July 4, 2021",7:30 AM EST,9.5,$485
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Saturday, July 3, 2021",6:29 PM EST,6.5,$672
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Saturday, July 3, 2021",4:50 PM EST,8.5,$464
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Saturday, July 3, 2021",4:41 PM EST,10.5,$485
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Saturday, July 3, 2021",2:50 PM EST,12,$466
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Friday, July 2, 2021",5:08 PM EST,9,$475
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Friday, July 2, 2021",2:09 PM EST,10,$402
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Thursday, July 1, 2021",8:47 PM EST,8,$479
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Thursday, July 1, 2021",8:31 PM EST,12,$430
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Thursday, July 1, 2021",5:37 PM EST,8,$411
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Thursday, July 1, 2021",4:21 PM EST,11,$461
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Thursday, July 1, 2021",1:31 PM EST,9,$450
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Thursday, July 1, 2021",4:09 AM EST,9,$447
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",12:54 AM EST,11.5,$526
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",11:41 PM EST,10.5,$486
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",11:19 PM EST,10,$479
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",8:16 PM EST,10.5,$523
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",6:49 PM EST,9,$450
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",3:32 PM EST,11,$549
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",1:47 PM EST,7,$570
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",12:03 PM EST,5,$552
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Wednesday, June 30, 2021",11:53 AM EST,8.5,$500
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, June 29, 2021",8:56 PM EST,12,$459
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, June 29, 2021",5:49 PM EST,5.5,$686
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, June 29, 2021",3:19 PM EST,9.5,$499
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, June 29, 2021",11:13 AM EST,9.5,$450
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, June 29, 2021",9:26 AM EST,12,$438
adidas Yeezy Boost 350 V2 Sesame,YZY350V2-SESAME,"Tuesday, June 29, 2021",8:36 AM EST,12,$542
