name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Tuesday, July 6, 2021",4:28 PM EST,10,$485
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Tuesday, July 6, 2021",3:44 AM EST,8.5,$481
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Monday, July 5, 2021",10:40 PM EST,9,$410
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Monday, July 5, 2021",10:36 PM EST,12.5,$364
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Monday, July 5, 2021",10:21 PM EST,8,$492
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Monday, July 5, 2021",8:21 PM EST,6.5,$620
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Monday, July 5, 2021",8:05 PM EST,10.5,$472
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Monday, July 5, 2021",10:02 AM EST,10,$449
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Sunday, July 4, 2021",12:30 PM EST,12,$463
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Sunday, July 4, 2021",9:36 AM EST,9,$475
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",5:40 PM EST,10,$390
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",2:20 PM EST,9.5,$480
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",1:32 PM EST,9.5,$478
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",11:34 AM EST,5,$546
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",11:31 AM EST,12,$527
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",10:06 AM EST,11.5,$471
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Saturday, July 3, 2021",6:34 AM EST,8.5,$546
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",11:44 PM EST,4,$487
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",6:20 PM EST,13,$448
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",3:59 PM EST,11,$454
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",3:07 PM EST,9,$462
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",2:02 PM EST,10,$468
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",12:42 PM EST,10,$440
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",12:31 PM EST,10.5,$437
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",10:37 AM EST,9,$481
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",10:05 AM EST,4,$562
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Friday, July 2, 2021",9:08 AM EST,11,$421
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",11:44 PM EST,11.5,$340
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",11:42 PM EST,13,$352
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",5:19 PM EST,9,$460
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",4:58 PM EST,10.5,$403
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",4:34 PM EST,9.5,$402
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",4:19 PM EST,7.5,$544
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",1:18 PM EST,11.5,$375
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",12:37 PM EST,12,$450
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",12:36 PM EST,11,$397
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",11:27 AM EST,10.5,$404
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",11:27 AM EST,9,$441
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",11:21 AM EST,8,$500
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",11:19 AM EST,10,$413
adidas Yeezy Boost 350 V2 Static (Non-Reflective),YZY350V2-STATIC,"Thursday, July 1, 2021",10:53 AM EST,8.5,$424
