name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",6:12 PM EST,7,$450
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",6:08 PM EST,13,$510
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:36 PM EST,11,$410
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:35 PM EST,11,$415
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:25 PM EST,9,$390
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:22 PM EST,8.5,$410
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:21 PM EST,10,$434
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:12 PM EST,13,$515
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",4:36 PM EST,11,$455
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",4:34 PM EST,9.5,$397
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",4:17 PM EST,8,$363
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",3:56 PM EST,5.5,$414
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",3:37 PM EST,10,$426
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",3:32 PM EST,9,$356
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",3:04 PM EST,5.5,$436
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",2:16 PM EST,11.5,$475
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",1:33 PM EST,10.5,$444
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",1:27 PM EST,8,$390
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",1:13 PM EST,6.5,$421
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",12:37 PM EST,11.5,$460
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",11:35 AM EST,10.5,$440
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",11:10 AM EST,10,$424
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",11:00 AM EST,9.5,$420
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",10:23 AM EST,7,$431
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",9:18 AM EST,9,$390
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",8:36 AM EST,8,$424
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",8:13 AM EST,5,$445
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",7:44 AM EST,10.5,$434
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",7:14 AM EST,12.5,$540
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",7:11 AM EST,9,$390
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",6:28 AM EST,9,$396
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",5:18 AM EST,8.5,$409
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",3:12 AM EST,10.5,$423
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Tuesday, July 6, 2021",2:27 AM EST,8,$424
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",11:53 PM EST,11,$490
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",10:49 PM EST,11,$458
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",10:32 PM EST,5.5,$436
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",9:13 PM EST,10,$430
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",9:04 PM EST,6,$448
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",8:36 PM EST,12,$498
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",7:04 PM EST,9.5,$400
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",6:53 PM EST,11,$428
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",6:32 PM EST,9,$380
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",5:49 PM EST,12,$467
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",5:12 PM EST,9.5,$395
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",5:10 PM EST,10,$428
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",4:38 PM EST,8.5,$409
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",3:50 PM EST,17,$501
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",3:49 PM EST,10,$428
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",3:36 PM EST,9,$392
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",3:34 PM EST,9.5,$397
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",2:52 PM EST,9,$360
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",2:25 PM EST,12.5,$594
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",2:18 PM EST,9.5,$395
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",12:25 PM EST,10.5,$405
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",11:03 AM EST,11.5,$477
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",10:36 AM EST,10,$374
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",9:24 AM EST,8,$408
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",7:23 AM EST,7,$507
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",4:04 AM EST,11,$458
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",3:25 AM EST,10,$400
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Monday, July 5, 2021",1:47 AM EST,10.5,$476
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",12:31 AM EST,8.5,$458
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",11:33 PM EST,11.5,$474
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",6:44 PM EST,8.5,$370
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",5:37 PM EST,14,$470
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",5:28 PM EST,6.5,$425
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",3:36 PM EST,11,$440
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",3:35 PM EST,10,$374
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",2:54 PM EST,9,$379
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",2:42 PM EST,5.5,$463
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",2:31 PM EST,9.5,$393
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",2:17 PM EST,10.5,$429
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",1:43 PM EST,6.5,$429
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",1:29 PM EST,10.5,$440
adidas Yeezy Boost 350 V2 Zebra,YZY350V2-ZEBRA,"Sunday, July 4, 2021",1:02 PM EST,9.5,$392
