name,ticker,date,time,size,price
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, July 6, 2021",3:02 PM EST,14,$255
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, July 6, 2021",2:28 PM EST,4,$310
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, July 6, 2021",2:24 PM EST,11,$353
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, July 6, 2021",1:24 AM EST,6,$610
adidas Yeezy 500 Blush,YZY500-BLSH,"Monday, July 5, 2021",1:59 PM EST,12,$289
adidas Yeezy 500 Blush,YZY500-BLSH,"Sunday, July 4, 2021",5:58 PM EST,11,$395
adidas Yeezy 500 Blush,YZY500-BLSH,"Sunday, July 4, 2021",4:03 PM EST,10.5,$390
adidas Yeezy 500 Blush,YZY500-BLSH,"Saturday, July 3, 2021",6:32 PM EST,11.5,$390
adidas Yeezy 500 Blush,YZY500-BLSH,"Friday, July 2, 2021",12:34 PM EST,8.5,$483
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 30, 2021",2:40 PM EST,12,$380
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 30, 2021",12:36 PM EST,11.5,$414
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 29, 2021",5:19 PM EST,10.5,$345
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 29, 2021",4:21 AM EST,9,$550
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 29, 2021",3:48 AM EST,9.5,$450
adidas Yeezy 500 Blush,YZY500-BLSH,"Friday, June 25, 2021",3:22 PM EST,12,$379
adidas Yeezy 500 Blush,YZY500-BLSH,"Friday, June 25, 2021",12:09 PM EST,8.5,$481
adidas Yeezy 500 Blush,YZY500-BLSH,"Friday, June 25, 2021",7:31 AM EST,13,$405
adidas Yeezy 500 Blush,YZY500-BLSH,"Thursday, June 24, 2021",12:40 PM EST,8.5,$481
adidas Yeezy 500 Blush,YZY500-BLSH,"Thursday, June 24, 2021",11:45 AM EST,10,$472
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 23, 2021",1:30 PM EST,5,$730
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 22, 2021",3:43 PM EST,10,$430
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 22, 2021",9:58 AM EST,8,$484
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 22, 2021",7:19 AM EST,10,$469
adidas Yeezy 500 Blush,YZY500-BLSH,"Monday, June 21, 2021",7:14 AM EST,11,$425
adidas Yeezy 500 Blush,YZY500-BLSH,"Friday, June 18, 2021",12:25 PM EST,10,$419
adidas Yeezy 500 Blush,YZY500-BLSH,"Friday, June 18, 2021",8:09 AM EST,9,$500
adidas Yeezy 500 Blush,YZY500-BLSH,"Thursday, June 17, 2021",7:24 PM EST,8,$588
adidas Yeezy 500 Blush,YZY500-BLSH,"Thursday, June 17, 2021",2:24 PM EST,7,$500
adidas Yeezy 500 Blush,YZY500-BLSH,"Thursday, June 17, 2021",1:47 AM EST,12,$380
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 16, 2021",11:19 PM EST,10,$478
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 16, 2021",2:13 PM EST,7.5,$610
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 16, 2021",10:31 AM EST,8.5,$481
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 16, 2021",7:53 AM EST,9.5,$513
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 16, 2021",7:16 AM EST,7.5,$530
adidas Yeezy 500 Blush,YZY500-BLSH,"Wednesday, June 16, 2021",4:25 AM EST,5,"$1,043"
adidas Yeezy 500 Blush,YZY500-BLSH,"Tuesday, June 15, 2021",6:35 PM EST,11,$533
