name,ticker,date,time,size,price
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, July 6, 2021",11:16 AM EST,5,$670
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, July 6, 2021",7:34 AM EST,11,$322
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, July 5, 2021",8:12 PM EST,10,$325
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, July 5, 2021",6:19 PM EST,8.5,$452
adidas Yeezy 500 Salt,YZY500-SALT,"Sunday, July 4, 2021",10:21 AM EST,10.5,$512
adidas Yeezy 500 Salt,YZY500-SALT,"Sunday, July 4, 2021",8:41 AM EST,11.5,$295
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, July 3, 2021",7:40 PM EST,10.5,$373
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, July 3, 2021",11:29 AM EST,13,$485
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, July 3, 2021",6:29 AM EST,10.5,$390
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, July 2, 2021",2:58 PM EST,9.5,$387
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, July 2, 2021",11:59 AM EST,8,$420
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, July 1, 2021",6:28 PM EST,8,$366
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, July 1, 2021",11:57 AM EST,7.5,$398
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, July 1, 2021",5:46 AM EST,7,$466
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, July 1, 2021",2:25 AM EST,8,$370
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 30, 2021",5:27 PM EST,11.5,$369
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 30, 2021",2:13 AM EST,11.5,$398
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 30, 2021",1:58 AM EST,11,$330
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 29, 2021",8:42 PM EST,11,$335
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 29, 2021",3:46 AM EST,9.5,$382
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 29, 2021",1:23 AM EST,8,$400
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 29, 2021",1:08 AM EST,12,$420
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 28, 2021",1:41 AM EST,14,$360
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 26, 2021",9:28 PM EST,9,$396
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 26, 2021",6:07 PM EST,9.5,$380
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 26, 2021",4:33 PM EST,9.5,$369
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 26, 2021",4:54 AM EST,10,$376
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, June 25, 2021",7:55 PM EST,10,$375
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, June 25, 2021",3:13 PM EST,8.5,$316
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 24, 2021",10:58 PM EST,8.5,$450
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 24, 2021",2:26 AM EST,10,$350
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 23, 2021",6:34 PM EST,13,$450
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 23, 2021",5:12 PM EST,5,$612
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 23, 2021",2:06 PM EST,8,$485
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 23, 2021",8:36 AM EST,9.5,$365
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 23, 2021",8:25 AM EST,14,$387
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 23, 2021",2:33 AM EST,11.5,$356
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 22, 2021",7:26 AM EST,11.5,$393
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 22, 2021",6:04 AM EST,4,$607
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 22, 2021",3:25 AM EST,12,$438
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 22, 2021",1:49 AM EST,7.5,$409
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 21, 2021",6:39 PM EST,10,$350
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 19, 2021",7:11 PM EST,11.5,$375
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 19, 2021",3:22 AM EST,10,$417
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 17, 2021",9:20 PM EST,12,$326
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 17, 2021",5:11 PM EST,4,$556
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 17, 2021",11:45 AM EST,10.5,$425
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 16, 2021",9:39 PM EST,11.5,$350
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 15, 2021",10:59 PM EST,10.5,$425
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 15, 2021",2:50 PM EST,11.5,$296
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 14, 2021",2:56 PM EST,11,$328
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 14, 2021",8:17 AM EST,9.5,$389
adidas Yeezy 500 Salt,YZY500-SALT,"Sunday, June 13, 2021",9:34 PM EST,12.5,$415
adidas Yeezy 500 Salt,YZY500-SALT,"Sunday, June 13, 2021",7:29 AM EST,10.5,$350
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 12, 2021",3:44 PM EST,11.5,$375
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 12, 2021",2:31 PM EST,10.5,$420
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, June 11, 2021",3:03 PM EST,10.5,$419
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, June 11, 2021",2:27 PM EST,12.5,$413
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, June 11, 2021",10:24 AM EST,13,$484
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 10, 2021",12:29 AM EST,11.5,$375
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 10, 2021",9:08 PM EST,8.5,$400
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 10, 2021",8:08 PM EST,9,$399
adidas Yeezy 500 Salt,YZY500-SALT,"Thursday, June 10, 2021",7:13 PM EST,10,$400
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 9, 2021",5:00 PM EST,10.5,$440
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 9, 2021",1:01 PM EST,9,$326
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 9, 2021",3:45 AM EST,12,$448
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 9, 2021",1:25 AM EST,10,$400
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 8, 2021",10:08 PM EST,9.5,$350
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 8, 2021",4:27 PM EST,11.5,$375
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 8, 2021",2:04 PM EST,10,$397
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 8, 2021",10:21 AM EST,11.5,$370
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 8, 2021",6:10 AM EST,12,$345
adidas Yeezy 500 Salt,YZY500-SALT,"Tuesday, June 8, 2021",4:58 AM EST,9.5,$389
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 7, 2021",12:35 AM EST,9,$398
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 7, 2021",6:46 PM EST,9.5,$385
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 7, 2021",2:30 PM EST,10.5,$350
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 7, 2021",11:47 AM EST,10,$485
adidas Yeezy 500 Salt,YZY500-SALT,"Monday, June 7, 2021",8:07 AM EST,11,$454
adidas Yeezy 500 Salt,YZY500-SALT,"Sunday, June 6, 2021",11:15 AM EST,9,$398
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 5, 2021",4:36 PM EST,9,$395
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 5, 2021",12:47 PM EST,7,$481
adidas Yeezy 500 Salt,YZY500-SALT,"Saturday, June 5, 2021",8:18 AM EST,8.5,$524
adidas Yeezy 500 Salt,YZY500-SALT,"Friday, June 4, 2021",4:09 AM EST,11,$376
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 2, 2021",4:27 PM EST,4,$524
adidas Yeezy 500 Salt,YZY500-SALT,"Wednesday, June 2, 2021",2:33 PM EST,11,$361
