name,ticker,date,time,size,price
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, July 2, 2021",4:19 AM EST,12.5K,$203
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, June 18, 2021",12:09 PM EST,11K,$200
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, June 11, 2021",10:40 AM EST,11K,$200
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Tuesday, June 8, 2021",6:40 AM EST,13.5K,$228
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Monday, June 7, 2021",6:44 PM EST,12K,$299
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, June 2, 2021",11:05 AM EST,2,$275
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, June 2, 2021",5:48 AM EST,12K,$299
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, May 30, 2021",9:40 PM EST,11.5K,$289
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, May 28, 2021",1:39 AM EST,3,$368
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, May 22, 2021",10:00 AM EST,11K,$165
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Tuesday, May 18, 2021",10:16 AM EST,1,$116
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, May 5, 2021",11:40 AM EST,13K,$270
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, May 2, 2021",2:36 AM EST,12K,$198
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, April 30, 2021",3:01 AM EST,11K,$150
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Thursday, April 29, 2021",9:46 PM EST,13K,$155
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, April 25, 2021",9:33 PM EST,12.5K,$198
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, April 21, 2021",9:49 AM EST,12.5K,$195
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, April 18, 2021",8:18 AM EST,11.5K,$269
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, April 17, 2021",3:56 PM EST,13K,$259
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, April 16, 2021",12:44 PM EST,12.5K,$195
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Monday, April 12, 2021",8:01 PM EST,1,$220
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, April 9, 2021",3:45 PM EST,12K,$140
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, March 31, 2021",5:17 PM EST,11K,$150
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, March 31, 2021",10:01 AM EST,13K,$250
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, March 27, 2021",5:18 PM EST,12K,$198
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, March 27, 2021",11:16 AM EST,1,$200
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, March 26, 2021",8:24 AM EST,12K,$197
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, March 26, 2021",4:43 AM EST,11.5K,$252
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, March 26, 2021",3:09 AM EST,13K,$249
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, March 26, 2021",3:07 AM EST,12K,$197
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Monday, March 22, 2021",12:31 PM EST,12K,$187
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, March 21, 2021",4:50 AM EST,2,$320
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, March 17, 2021",8:12 PM EST,12K,$187
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, March 17, 2021",7:17 PM EST,2,$270
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Monday, March 15, 2021",4:36 AM EST,1.5,$190
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, March 13, 2021",12:43 PM EST,2.5,$336
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, March 12, 2021",9:50 PM EST,12K,$186
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, March 7, 2021",3:10 PM EST,12K,$185
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, March 6, 2021",12:50 PM EST,1.5,$190
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, March 5, 2021",8:52 AM EST,12K,$185
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Thursday, March 4, 2021",3:04 PM EST,1.5,$189
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, February 28, 2021",2:36 AM EST,11K,$259
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Tuesday, February 9, 2021",8:58 AM EST,12.5K,$165
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, February 6, 2021",12:15 AM EST,2.5,$231
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Saturday, February 6, 2021",3:59 PM EST,1.5,$184
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, February 3, 2021",9:23 AM EST,12K,$100
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, February 3, 2021",9:22 AM EST,12K,$105
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, January 31, 2021",10:02 PM EST,1.5,$190
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, January 27, 2021",12:15 AM EST,13K,$270
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, January 27, 2021",10:00 AM EST,11K,$200
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, January 27, 2021",4:02 AM EST,1.5,$190
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Monday, January 25, 2021",10:39 AM EST,1.5,$189
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Thursday, January 21, 2021",5:45 PM EST,11K,$166
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, January 20, 2021",2:20 PM EST,11K,$165
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Tuesday, January 19, 2021",6:27 PM EST,1,$113
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, January 17, 2021",8:58 AM EST,11K,$167
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Wednesday, January 13, 2021",7:41 PM EST,3.5,$356
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, January 10, 2021",8:44 AM EST,1,$268
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Thursday, January 7, 2021",12:27 PM EST,1,$179
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, January 1, 2021",11:16 AM EST,1.5,$179
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Sunday, December 20, 2020",12:48 PM EST,1.5,$178
adidas Yeezy 500 Stone (Kids),YZY500-STNK,"Friday, December 18, 2020",6:39 AM EST,13K,$297
