name,ticker,date,time,size,price
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, July 6, 2021",4:52 PM EST,8.5,$410
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, July 6, 2021",2:31 PM EST,6,$644
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, July 5, 2021",12:08 AM EST,6,$680
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, July 5, 2021",8:28 PM EST,4,$183
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, July 5, 2021",8:23 PM EST,10.5,$361
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, July 5, 2021",8:15 PM EST,4,$199
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, July 5, 2021",8:13 PM EST,5.5,$621
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, July 5, 2021",6:59 PM EST,11.5,$678
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, July 4, 2021",12:31 PM EST,9.5,$415
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, July 3, 2021",8:55 PM EST,12.5,$552
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, July 3, 2021",4:58 AM EST,11,$592
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, July 2, 2021",7:56 PM EST,9,$376
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, July 2, 2021",8:01 AM EST,9.5,$426
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, July 1, 2021",8:24 PM EST,10.5,$450
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, July 1, 2021",3:31 AM EST,13.5,$375
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 30, 2021",9:19 PM EST,12,$500
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 30, 2021",4:05 AM EST,9,$385
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, June 29, 2021",3:55 PM EST,9.5,$426
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 28, 2021",11:13 PM EST,12.5,$500
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 28, 2021",9:28 PM EST,9,$390
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 28, 2021",12:58 PM EST,6.5,$627
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 28, 2021",10:44 AM EST,11,$415
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 26, 2021",11:59 PM EST,11,$435
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 25, 2021",11:07 PM EST,11,$427
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 25, 2021",6:19 PM EST,10.5,$360
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 25, 2021",11:38 AM EST,10,$462
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 24, 2021",2:42 PM EST,10,$400
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 23, 2021",11:31 AM EST,6,$705
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 23, 2021",9:46 AM EST,9.5,$458
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, June 22, 2021",7:06 AM EST,11.5,$575
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 21, 2021",2:43 PM EST,6.5,$739
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 21, 2021",12:44 PM EST,11.5,$666
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 21, 2021",2:41 AM EST,12,$515
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, June 20, 2021",10:38 PM EST,11,$435
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, June 20, 2021",6:37 PM EST,9,$400
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 19, 2021",7:08 AM EST,11,$435
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 18, 2021",10:10 PM EST,5,$611
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 18, 2021",2:22 AM EST,8.5,$453
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 17, 2021",12:24 AM EST,13.5,$514
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 17, 2021",4:54 PM EST,7,$752
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 17, 2021",9:46 AM EST,8,$614
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 17, 2021",8:51 AM EST,14,$658
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 17, 2021",8:35 AM EST,9.5,$430
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 16, 2021",1:28 AM EST,10.5,$460
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, June 15, 2021",8:00 PM EST,9.5,$470
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 14, 2021",1:20 PM EST,8.5,$456
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 14, 2021",1:19 PM EST,9,$448
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, June 13, 2021",11:59 PM EST,12,$519
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, June 13, 2021",5:50 PM EST,8.5,$319
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, June 13, 2021",5:44 PM EST,8.5,$321
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 12, 2021",12:30 AM EST,10.5,$447
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 12, 2021",1:47 PM EST,10.5,$430
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 11, 2021",10:43 AM EST,7,$759
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 10, 2021",3:49 PM EST,8.5,$439
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 10, 2021",11:13 AM EST,10.5,$411
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 10, 2021",10:38 AM EST,8.5,$407
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, June 10, 2021",4:30 AM EST,6.5,$695
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 9, 2021",6:11 PM EST,10,$383
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 9, 2021",4:55 PM EST,9,$480
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 9, 2021",3:18 PM EST,11,$421
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 9, 2021",12:06 PM EST,10.5,$430
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, June 9, 2021",11:56 AM EST,6.5,$710
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, June 8, 2021",4:43 PM EST,8.5,$438
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, June 8, 2021",2:17 PM EST,6.5,$629
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 7, 2021",3:34 PM EST,5,$682
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 7, 2021",1:38 PM EST,6,$699
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 7, 2021",1:15 PM EST,10,$519
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 7, 2021",1:10 PM EST,6.5,$615
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, June 7, 2021",6:14 AM EST,5,$725
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, June 6, 2021",11:49 AM EST,12,$529
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 5, 2021",5:23 PM EST,9,$461
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 5, 2021",4:34 PM EST,9,$460
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, June 5, 2021",2:30 AM EST,11,$455
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, June 4, 2021",2:54 AM EST,8.5,$504
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, June 1, 2021",10:15 AM EST,8.5,$439
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, May 31, 2021",6:01 PM EST,8.5,$427
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, May 30, 2021",7:53 PM EST,12,$537
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, May 30, 2021",6:43 PM EST,6,$711
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 29, 2021",9:59 PM EST,5,$683
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 29, 2021",8:33 PM EST,5.5,$667
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 28, 2021",1:20 AM EST,11,$438
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 25, 2021",4:31 PM EST,6.5,$607
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 25, 2021",9:44 AM EST,8,$578
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, May 24, 2021",5:38 PM EST,5.5,$578
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, May 23, 2021",8:48 PM EST,11,$401
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 22, 2021",10:51 PM EST,11,$420
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 22, 2021",8:18 PM EST,9,$460
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 22, 2021",2:19 PM EST,8.5,$416
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 22, 2021",1:25 PM EST,10,$382
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 22, 2021",11:30 AM EST,10.5,$449
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 21, 2021",12:29 AM EST,6,$564
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 21, 2021",4:17 PM EST,9,$415
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 21, 2021",3:56 PM EST,8,$437
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 21, 2021",2:03 PM EST,10,$479
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 21, 2021",5:23 AM EST,12,$535
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, May 20, 2021",1:06 PM EST,11.5,$500
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, May 19, 2021",10:59 PM EST,8.5,$421
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, May 19, 2021",10:40 PM EST,10,$440
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, May 19, 2021",5:00 PM EST,12,$520
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 18, 2021",5:24 PM EST,7.5,$963
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 18, 2021",11:26 AM EST,8,$475
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 18, 2021",2:40 AM EST,8,$561
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, May 17, 2021",6:59 PM EST,8.5,$490
adidas Yeezy 500 Soft Vision,YZY500-SV,"Monday, May 17, 2021",6:58 PM EST,9,$450
adidas Yeezy 500 Soft Vision,YZY500-SV,"Sunday, May 16, 2021",7:26 AM EST,9.5,$462
adidas Yeezy 500 Soft Vision,YZY500-SV,"Saturday, May 15, 2021",10:02 PM EST,8.5,$489
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 14, 2021",10:45 PM EST,7,$750
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 14, 2021",5:02 PM EST,8.5,$490
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 14, 2021",4:49 PM EST,5.5,$652
adidas Yeezy 500 Soft Vision,YZY500-SV,"Friday, May 14, 2021",2:11 AM EST,9,$445
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, May 13, 2021",5:28 PM EST,8.5,$421
adidas Yeezy 500 Soft Vision,YZY500-SV,"Thursday, May 13, 2021",1:09 PM EST,10.5,$405
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, May 12, 2021",10:50 PM EST,12,$554
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, May 12, 2021",6:00 PM EST,7,$775
adidas Yeezy 500 Soft Vision,YZY500-SV,"Wednesday, May 12, 2021",4:14 PM EST,8,$565
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 11, 2021",8:40 PM EST,9.5,$499
adidas Yeezy 500 Soft Vision,YZY500-SV,"Tuesday, May 11, 2021",3:59 PM EST,8,$503
