name,ticker,date,time,size,price
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Tuesday, July 6, 2021",6:48 PM EST,10,$400
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Monday, July 5, 2021",4:00 PM EST,11,$424
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Monday, July 5, 2021",1:26 PM EST,9.5,$350
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Monday, July 5, 2021",11:51 AM EST,12,$380
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Monday, July 5, 2021",9:22 AM EST,9.5,$393
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Monday, July 5, 2021",8:29 AM EST,11,$478
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Saturday, July 3, 2021",11:13 PM EST,13,$465
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Saturday, July 3, 2021",4:50 PM EST,5,$488
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Saturday, July 3, 2021",3:28 PM EST,8.5,$400
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Saturday, July 3, 2021",2:33 PM EST,6,$755
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Saturday, July 3, 2021",1:12 PM EST,10.5,$414
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Saturday, July 3, 2021",7:02 AM EST,9,$378
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Friday, July 2, 2021",7:30 PM EST,6,$490
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Friday, July 2, 2021",6:00 PM EST,11,$449
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Friday, July 2, 2021",4:48 PM EST,9,$378
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Friday, July 2, 2021",12:12 PM EST,12,$440
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Friday, July 2, 2021",10:36 AM EST,7.5,$438
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Friday, July 2, 2021",2:46 AM EST,10.5,$376
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Thursday, July 1, 2021",10:45 PM EST,9.5,$375
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Thursday, July 1, 2021",6:27 PM EST,12.5,$401
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Thursday, July 1, 2021",3:21 AM EST,11.5,$369
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Wednesday, June 30, 2021",12:58 AM EST,10,$398
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Wednesday, June 30, 2021",12:10 AM EST,5,$488
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Wednesday, June 30, 2021",5:21 PM EST,12,$450
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Wednesday, June 30, 2021",4:58 PM EST,9,$360
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Wednesday, June 30, 2021",5:55 AM EST,10,$381
adidas Yeezy Boost 700 Mauve,YZY700-MVE,"Wednesday, June 30, 2021",5:48 AM EST,10,$387
