name,ticker,date,time,size,price
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",8:19 PM EST,5.5,$674
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",5:56 PM EST,11.5,$550
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",5:25 PM EST,9,$569
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",4:58 PM EST,6,$508
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",3:34 PM EST,9.5,$580
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",11:13 AM EST,8.5,$574
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Tuesday, July 6, 2021",9:09 AM EST,6,$705
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",12:43 AM EST,8,$590
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",11:48 PM EST,10,$580
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",9:15 PM EST,4,$550
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",3:33 PM EST,13,$704
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",12:34 PM EST,11.5,$636
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",12:13 PM EST,8,$600
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",4:43 AM EST,9.5,$619
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Monday, July 5, 2021",4:00 AM EST,5,$827
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Sunday, July 4, 2021",9:21 PM EST,11.5,$620
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Sunday, July 4, 2021",5:00 PM EST,4.5,$698
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Sunday, July 4, 2021",4:57 AM EST,11.5,$620
adidas Yeezy Boost 700 Wave Runner Solid Grey,YZY700-SLDGRY,"Sunday, July 4, 2021",4:40 AM EST,9.5,$602
