name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Tuesday, July 6, 2021",3:31 PM EST,11,$366
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Monday, July 5, 2021",8:46 PM EST,4.5,$274
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Monday, July 5, 2021",1:50 PM EST,10.5,$356
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Monday, July 5, 2021",7:44 AM EST,10,$356
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Monday, July 5, 2021",5:31 AM EST,8.5,$320
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Monday, July 5, 2021",2:22 AM EST,11,$375
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Sunday, July 4, 2021",10:38 PM EST,11,$500
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Sunday, July 4, 2021",3:40 PM EST,10,$385
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Saturday, July 3, 2021",3:25 AM EST,11.5,$399
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Saturday, July 3, 2021",3:24 AM EST,12,$400
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Friday, July 2, 2021",10:06 PM EST,12,$480
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Wednesday, June 30, 2021",10:49 PM EST,9,$354
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Tuesday, June 29, 2021",2:09 PM EST,9.5,$398
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Saturday, June 26, 2021",5:41 PM EST,14.5,$340
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Friday, June 25, 2021",9:48 PM EST,9.5,$394
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Thursday, June 24, 2021",5:37 PM EST,9.5,$325
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Thursday, June 24, 2021",3:14 AM EST,8.5,$407
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Wednesday, June 23, 2021",11:09 PM EST,8.5,$427
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Monday, June 21, 2021",1:01 PM EST,16,$299
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Sunday, June 20, 2021",10:50 PM EST,9,$382
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Sunday, June 20, 2021",6:11 PM EST,5.5,$275
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Sunday, June 20, 2021",4:32 PM EST,13.5,$325
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Friday, June 18, 2021",10:52 AM EST,8,$414
adidas Yeezy Boost 700 MNVN Bone,YZY700M-BNE,"Thursday, June 17, 2021",8:40 AM EST,9,$375
