name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, July 5, 2021",12:55 PM EST,6,$434
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Sunday, July 4, 2021",4:37 PM EST,4.5,$398
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Sunday, July 4, 2021",4:11 PM EST,6,$434
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, June 30, 2021",11:57 AM EST,11,$535
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 28, 2021",7:56 PM EST,8.5,$523
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 28, 2021",4:22 PM EST,12,$670
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Saturday, June 26, 2021",8:38 PM EST,11,$547
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Friday, June 25, 2021",6:37 PM EST,13,$525
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Thursday, June 24, 2021",3:32 AM EST,9.5,$460
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, June 23, 2021",5:29 AM EST,7,$353
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, June 22, 2021",3:39 PM EST,4,$309
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 21, 2021",11:18 PM EST,6,$430
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 21, 2021",8:15 AM EST,11.5,$795
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Friday, June 18, 2021",3:47 PM EST,4.5,$322
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, June 15, 2021",11:43 PM EST,12.5,$655
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, June 15, 2021",7:37 AM EST,5,$277
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, June 15, 2021",5:12 AM EST,5,$347
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, June 15, 2021",5:11 AM EST,6,$333
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 14, 2021",5:33 AM EST,6,$335
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 14, 2021",5:32 AM EST,6.5,$368
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Saturday, June 12, 2021",12:24 PM EST,6,$419
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, June 9, 2021",10:20 PM EST,9.5,$580
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, June 9, 2021",1:56 PM EST,5,$440
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, June 8, 2021",11:28 AM EST,9,$499
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, June 7, 2021",7:11 PM EST,12,$650
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Sunday, June 6, 2021",1:14 PM EST,9,$498
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, June 2, 2021",9:27 AM EST,9,$375
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, May 26, 2021",10:15 PM EST,12,$540
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, May 26, 2021",7:20 PM EST,10,$740
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Saturday, May 22, 2021",3:48 AM EST,12,$515
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Saturday, May 22, 2021",1:55 AM EST,11,$500
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Thursday, May 20, 2021",8:33 PM EST,10,$600
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Saturday, May 15, 2021",4:37 PM EST,12,$540
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Friday, May 14, 2021",7:29 PM EST,12,$539
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Thursday, May 13, 2021",3:26 AM EST,13,$761
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, May 3, 2021",6:47 PM EST,10,$570
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, May 3, 2021",2:09 AM EST,10.5,$513
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Friday, April 30, 2021",8:29 PM EST,10,$600
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Friday, April 30, 2021",11:39 AM EST,9,$423
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Thursday, April 29, 2021",8:31 AM EST,11,$650
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, April 28, 2021",9:54 PM EST,8,$550
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Wednesday, April 28, 2021",3:12 AM EST,8.5,$455
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Tuesday, April 27, 2021",3:54 PM EST,11,$628
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Monday, April 26, 2021",3:35 AM EST,9.5,$575
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Sunday, April 25, 2021",6:38 PM EST,5.5,$400
adidas Yeezy Boost 700 MNVN Orange,YZY700M-ORG,"Thursday, April 22, 2021",10:00 PM EST,6.5,$443
