name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, July 6, 2021",6:10 PM EST,11,$341
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, July 6, 2021",2:31 PM EST,12,$288
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, July 6, 2021",12:33 PM EST,11.5,$445
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, July 5, 2021",10:01 PM EST,9,$327
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, July 5, 2021",4:48 PM EST,13,$324
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Sunday, July 4, 2021",8:14 AM EST,8.5,$310
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, July 2, 2021",7:33 PM EST,5.5,$350
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, July 2, 2021",11:01 AM EST,11,$343
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, July 2, 2021",2:12 AM EST,9,$322
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 30, 2021",8:08 PM EST,10,$300
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 30, 2021",2:58 PM EST,11.5,$400
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 30, 2021",2:54 PM EST,12,$410
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 30, 2021",1:10 PM EST,7.5,$326
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, June 29, 2021",9:42 PM EST,4,$295
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 28, 2021",12:03 AM EST,9,$266
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 28, 2021",8:58 PM EST,9,$319
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 28, 2021",5:10 PM EST,12.5,$450
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 28, 2021",12:59 PM EST,9,$299
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 28, 2021",12:58 PM EST,9.5,$240
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 28, 2021",5:41 AM EST,11,$320
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Sunday, June 27, 2021",12:35 AM EST,4,$294
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 26, 2021",4:25 PM EST,4.5,$335
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 26, 2021",4:11 PM EST,10,$347
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 25, 2021",9:41 PM EST,9,$315
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 25, 2021",11:58 AM EST,6,$350
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 25, 2021",6:27 AM EST,9,$311
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 25, 2021",5:28 AM EST,7.5,$355
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Thursday, June 24, 2021",8:18 PM EST,11.5,$377
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Thursday, June 24, 2021",7:20 PM EST,5.5,$344
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 23, 2021",11:51 PM EST,7.5,$351
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 23, 2021",11:31 PM EST,10,$344
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 23, 2021",9:57 PM EST,14.5,$285
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, June 22, 2021",11:55 PM EST,10,$340
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, June 22, 2021",3:38 PM EST,9,$315
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 21, 2021",4:08 PM EST,7,$335
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 21, 2021",12:04 PM EST,9,$319
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Sunday, June 20, 2021",6:47 PM EST,9,$318
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Sunday, June 20, 2021",12:00 PM EST,14,$495
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 19, 2021",12:38 AM EST,10,$300
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Thursday, June 17, 2021",5:57 PM EST,8,$338
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 16, 2021",1:16 PM EST,13,$325
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 16, 2021",12:48 PM EST,12,$360
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 16, 2021",11:04 AM EST,11,$335
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 16, 2021",10:41 AM EST,5.5,$363
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 16, 2021",9:42 AM EST,11.5,$380
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, June 15, 2021",5:47 PM EST,11,$310
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 14, 2021",12:07 PM EST,5.5,$343
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 12, 2021",3:38 PM EST,8.5,$340
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 11, 2021",8:01 PM EST,10.5,$380
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 11, 2021",5:52 PM EST,7,$286
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 11, 2021",2:59 PM EST,9,$327
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Thursday, June 10, 2021",5:53 PM EST,7.5,$329
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 9, 2021",7:39 PM EST,9,$330
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Wednesday, June 9, 2021",11:41 AM EST,12,$390
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Tuesday, June 8, 2021",8:10 PM EST,11,$397
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 7, 2021",5:15 PM EST,8,$338
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Monday, June 7, 2021",4:00 PM EST,8,$320
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Sunday, June 6, 2021",10:25 PM EST,9.5,$320
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 5, 2021",12:54 AM EST,8.5,$350
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 5, 2021",7:18 PM EST,8.5,$290
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Saturday, June 5, 2021",7:23 AM EST,10,$353
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 4, 2021",7:01 PM EST,11.5,$310
adidas Yeezy Boost 700 MNVN Phosphor,YZY700M-PHSPR,"Friday, June 4, 2021",11:33 AM EST,10,$343
