name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, July 6, 2021",8:49 PM EST,9,$350
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, July 6, 2021",7:04 PM EST,10.5,$363
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, July 6, 2021",2:11 PM EST,8,$335
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, July 6, 2021",2:08 PM EST,7.5,$320
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, July 6, 2021",1:03 PM EST,8,$380
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, July 6, 2021",1:00 AM EST,12,$390
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",12:23 AM EST,9.5,$351
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",9:04 PM EST,4,$216
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",8:49 PM EST,10.5,$326
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",4:51 PM EST,6,$370
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",4:33 PM EST,5,$314
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",1:08 PM EST,5.5,$301
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",8:44 AM EST,11.5,$377
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, July 5, 2021",5:53 AM EST,10,$344
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Sunday, July 4, 2021",7:28 PM EST,6,$332
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Saturday, July 3, 2021",4:44 PM EST,11,$314
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Saturday, July 3, 2021",3:00 PM EST,8,$368
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Saturday, July 3, 2021",4:31 AM EST,11.5,$327
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Saturday, July 3, 2021",3:09 AM EST,9,$307
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, July 2, 2021",12:29 AM EST,7,$362
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, July 2, 2021",9:40 PM EST,13,$476
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, July 2, 2021",7:34 AM EST,9.5,$337
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, July 2, 2021",3:18 AM EST,8.5,$374
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, July 2, 2021",2:23 AM EST,9,$350
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, July 1, 2021",5:51 PM EST,4.5,$305
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, July 1, 2021",5:35 PM EST,12.5,$402
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, July 1, 2021",5:29 PM EST,6,$335
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, July 1, 2021",5:06 PM EST,11.5,$345
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, July 1, 2021",3:36 PM EST,13,$369
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, July 1, 2021",2:01 AM EST,11,$332
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Wednesday, June 30, 2021",10:21 AM EST,9,$351
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Wednesday, June 30, 2021",6:15 AM EST,8.5,$295
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Wednesday, June 30, 2021",3:49 AM EST,13,$365
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 29, 2021",10:03 PM EST,8,$375
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 29, 2021",9:36 PM EST,10.5,$360
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 29, 2021",8:31 AM EST,10.5,$360
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, June 28, 2021",10:19 PM EST,12,$411
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, June 28, 2021",10:16 PM EST,6.5,$372
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, June 28, 2021",12:58 PM EST,7.5,$330
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Monday, June 28, 2021",12:48 PM EST,9,$350
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Saturday, June 26, 2021",6:10 PM EST,13,$406
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Saturday, June 26, 2021",3:11 PM EST,9.5,$353
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, June 25, 2021",6:11 PM EST,7,$362
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, June 25, 2021",4:05 PM EST,11,$380
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, June 25, 2021",3:08 PM EST,8,$358
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, June 25, 2021",2:15 PM EST,9.5,$350
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, June 25, 2021",11:55 AM EST,8.5,$355
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Friday, June 25, 2021",7:02 AM EST,11.5,$430
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Thursday, June 24, 2021",10:31 PM EST,11,$379
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Wednesday, June 23, 2021",7:24 PM EST,9,$333
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Wednesday, June 23, 2021",7:23 PM EST,10.5,$341
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 22, 2021",11:50 PM EST,12,$410
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 22, 2021",11:43 PM EST,9,$320
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 22, 2021",10:54 PM EST,11.5,$404
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 22, 2021",2:18 PM EST,9.5,$397
adidas Yeezy Boost 700 MNVN Triple Black,YZY700M-TB,"Tuesday, June 22, 2021",2:06 PM EST,8,$390
