name,ticker,date,time,size,price
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, June 27, 2021",5:43 PM EST,12,"$1,096"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, June 23, 2021",5:27 AM EST,9,"$1,000"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, June 19, 2021",1:59 PM EST,8,$850
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, June 17, 2021",2:33 PM EST,12,"$1,015"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, June 15, 2021",9:59 AM EST,11,"$1,400"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, June 15, 2021",3:18 AM EST,10,"$1,120"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, June 10, 2021",8:38 AM EST,11,"$1,200"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, June 7, 2021",3:32 AM EST,10,"$1,131"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, May 31, 2021",10:46 AM EST,11,"$1,608"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, May 27, 2021",2:47 PM EST,10,"$1,100"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, May 26, 2021",9:49 AM EST,11,"$1,487"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, May 23, 2021",8:25 PM EST,10,$955
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, May 23, 2021",8:24 PM EST,10,$955
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, May 21, 2021",4:41 AM EST,11,"$1,284"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, May 16, 2021",3:16 PM EST,8,$999
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, May 16, 2021",11:04 AM EST,8,$900
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, May 16, 2021",9:31 AM EST,12,"$1,099"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, May 11, 2021",8:56 PM EST,8,$900
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, May 10, 2021",5:51 PM EST,11,"$1,200"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, May 6, 2021",1:20 PM EST,8,$964
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, May 4, 2021",7:54 AM EST,10,"$1,150"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, April 26, 2021",10:51 AM EST,11,"$1,146"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, April 25, 2021",9:18 PM EST,8,$836
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, April 23, 2021",9:52 PM EST,10,"$1,325"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, April 19, 2021",6:51 PM EST,9,"$1,375"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, April 17, 2021",7:52 PM EST,14,"$1,196"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, April 15, 2021",2:01 AM EST,9,"$1,100"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, April 5, 2021",5:48 PM EST,7,"$1,266"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, April 5, 2021",8:43 AM EST,11,"$1,050"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, April 2, 2021",7:25 AM EST,12,"$1,199"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, March 26, 2021",12:39 AM EST,11,"$1,291"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, March 23, 2021",2:16 PM EST,9,"$1,059"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, March 20, 2021",2:53 AM EST,8,$990
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, March 17, 2021",6:55 PM EST,10,"$1,750"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, March 15, 2021",12:08 PM EST,10,"$1,718"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, March 12, 2021",5:05 PM EST,9,"$1,150"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, March 9, 2021",8:23 PM EST,10,"$1,248"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Tuesday, March 9, 2021",5:28 PM EST,11,"$1,180"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, March 4, 2021",11:58 AM EST,10,"$1,264"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, February 22, 2021",8:02 AM EST,7,"$1,331"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 20, 2021",12:21 AM EST,9,"$1,185"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, February 19, 2021",1:13 AM EST,10,"$1,323"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, February 17, 2021",7:08 AM EST,8,$851
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 13, 2021",2:51 PM EST,9,"$1,408"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 13, 2021",2:45 PM EST,10,"$1,182"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 13, 2021",5:55 AM EST,9,"$1,001"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 13, 2021",1:55 AM EST,10,"$1,312"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, February 7, 2021",9:54 PM EST,8,$808
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 6, 2021",6:42 PM EST,9,"$1,160"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, February 6, 2021",3:53 PM EST,11,"$1,004"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, February 1, 2021",11:45 PM EST,10,"$1,175"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, February 1, 2021",6:40 PM EST,11,"$1,400"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, January 31, 2021",5:49 PM EST,6,$947
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Sunday, January 31, 2021",7:00 AM EST,11,"$1,336"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, January 29, 2021",3:31 AM EST,11,"$1,150"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, January 27, 2021",7:17 PM EST,11,"$1,375"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, January 25, 2021",8:35 PM EST,8,"$1,099"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, January 23, 2021",7:33 AM EST,11,"$1,200"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, January 18, 2021",10:36 PM EST,10,"$1,245"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, January 15, 2021",12:01 AM EST,11,"$1,285"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, January 14, 2021",3:15 PM EST,12,"$1,250"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, January 7, 2021",9:42 AM EST,10,"$1,222"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, January 6, 2021",5:24 PM EST,9,"$1,325"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Monday, January 4, 2021",2:23 PM EST,10,"$1,001"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, January 2, 2021",11:08 PM EST,10,"$1,201"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Saturday, January 2, 2021",1:36 AM EST,8,"$1,072"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Friday, January 1, 2021",6:58 PM EST,10,"$1,200"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Thursday, December 17, 2020",10:58 PM EST,8,"$1,095"
adidas Yeezy Boost 750 Triple Black,YZY750-BLACK,"Wednesday, December 16, 2020",7:32 PM EST,11,"$1,295"
