name,ticker,date,time,size,price
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Sunday, June 20, 2021",3:01 PM EST,9,"$3,500"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, May 27, 2021",4:52 PM EST,10,"$2,300"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Saturday, April 3, 2021",2:23 PM EST,8,"$2,189"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, March 25, 2021",3:55 AM EST,9,"$2,379"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Wednesday, February 24, 2021",7:41 AM EST,12,"$2,399"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Saturday, February 13, 2021",9:25 AM EST,12,"$1,600"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Friday, January 15, 2021",3:47 AM EST,13,"$1,150"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Monday, November 30, 2020",8:05 PM EST,10,"$2,000"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Saturday, November 28, 2020",1:21 AM EST,6,"$1,429"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, November 12, 2020",4:39 AM EST,10,"$2,200"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Friday, November 6, 2020",12:34 PM EST,12,"$1,423"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Monday, November 2, 2020",11:26 AM EST,12,"$1,650"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Saturday, October 31, 2020",11:05 PM EST,13,"$1,200"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, October 29, 2020",1:55 PM EST,10,"$1,889"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, October 1, 2020",4:31 PM EST,12,"$1,650"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Tuesday, September 29, 2020",11:32 PM EST,10,"$1,888"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Saturday, August 15, 2020",6:41 PM EST,7,"$1,703"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Monday, August 10, 2020",11:58 PM EST,11,"$2,000"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, August 6, 2020",2:13 AM EST,8,"$3,214"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Monday, August 3, 2020",10:36 AM EST,11,"$2,000"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Monday, August 3, 2020",9:05 AM EST,8,"$2,255"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Tuesday, July 28, 2020",5:37 PM EST,8,"$2,350"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, July 9, 2020",7:00 PM EST,13,"$1,638"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, June 11, 2020",1:54 PM EST,11,"$2,452"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Thursday, June 11, 2020",12:10 PM EST,10,"$2,238"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Monday, June 8, 2020",5:58 AM EST,10,"$3,616"
adidas Yeezy Boost 750 OG Light Brown,YZY750-BROWN,"Friday, June 5, 2020",6:27 AM EST,10,"$2,236"
