name,ticker,date,time,size,price
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Sunday, July 4, 2021",3:41 PM EST,8,$831
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Thursday, July 1, 2021",4:02 PM EST,13,$950
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Wednesday, June 30, 2021",11:42 PM EST,11,$925
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Monday, June 28, 2021",2:24 PM EST,9,$900
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Tuesday, June 15, 2021",12:38 AM EST,8,$817
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Tuesday, June 15, 2021",4:32 PM EST,7,$840
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Saturday, June 12, 2021",5:05 PM EST,9,$999
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Thursday, June 10, 2021",10:56 AM EST,9,$892
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Wednesday, June 9, 2021",8:41 PM EST,7,$800
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Monday, June 7, 2021",8:56 PM EST,11,$939
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Sunday, May 30, 2021",12:15 AM EST,9.5,"$1,096"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Tuesday, May 25, 2021",3:14 AM EST,9.5,$920
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Friday, May 21, 2021",9:30 PM EST,9,$871
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Tuesday, May 18, 2021",12:21 AM EST,10,"$1,074"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Monday, May 17, 2021",6:29 AM EST,8,"$1,158"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Saturday, May 8, 2021",6:23 PM EST,11,$939
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Wednesday, May 5, 2021",4:47 AM EST,11.5,"$1,055"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Thursday, April 29, 2021",4:46 AM EST,11.5,$917
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Tuesday, April 27, 2021",10:26 PM EST,8.5,"$1,125"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Thursday, April 22, 2021",11:06 PM EST,6,$658
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Monday, April 19, 2021",12:27 PM EST,10.5,$998
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Saturday, April 17, 2021",8:36 AM EST,10.5,$880
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Wednesday, April 7, 2021",8:43 PM EST,8.5,"$1,050"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Thursday, April 1, 2021",1:13 AM EST,12,$805
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Monday, March 29, 2021",1:19 AM EST,8,$777
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Sunday, March 28, 2021",10:31 AM EST,12,"$1,050"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Sunday, March 28, 2021",3:22 AM EST,8,$899
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Saturday, March 27, 2021",6:36 AM EST,10,$914
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Wednesday, March 24, 2021",4:45 AM EST,11,$938
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Tuesday, March 16, 2021",6:35 PM EST,10.5,"$1,024"
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Friday, March 12, 2021",7:15 PM EST,13,$900
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Sunday, March 7, 2021",9:19 AM EST,9.5,$950
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Saturday, March 6, 2021",9:52 PM EST,13.5,$814
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Sunday, February 28, 2021",11:14 AM EST,9,$870
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Saturday, February 27, 2021",11:27 AM EST,8,$950
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),YZY750-BROWNGUM,"Friday, February 26, 2021",6:09 AM EST,9.5,$728
