name,ticker,date,time,size,price
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, July 5, 2021",4:31 PM EST,11,"$1,050"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, July 3, 2021",11:47 PM EST,12.5,$960
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, June 30, 2021",10:52 PM EST,12.5,$850
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, June 30, 2021",7:21 AM EST,6.5,"$1,134"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, June 28, 2021",3:58 AM EST,9,"$1,450"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, June 26, 2021",9:12 PM EST,11.5,"$1,010"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, June 17, 2021",11:05 AM EST,10.5,"$1,436"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, June 16, 2021",10:13 AM EST,12,"$1,150"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, June 9, 2021",6:48 AM EST,9,"$1,200"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, June 8, 2021",5:07 AM EST,12,"$1,000"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, June 7, 2021",12:50 PM EST,12.5,$841
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, June 1, 2021",1:05 AM EST,12,"$1,000"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, May 27, 2021",4:39 PM EST,9.5,"$1,254"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, May 26, 2021",10:49 PM EST,9.5,"$1,165"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, May 19, 2021",7:34 AM EST,11.5,$981
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, May 14, 2021",1:59 AM EST,10,"$1,564"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, May 13, 2021",6:22 PM EST,10.5,"$1,460"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, May 12, 2021",8:55 AM EST,12,"$1,048"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, May 2, 2021",10:47 AM EST,9.5,"$1,250"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, April 26, 2021",8:33 PM EST,9,"$1,577"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, April 23, 2021",5:07 AM EST,9.5,"$1,420"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, April 22, 2021",12:31 PM EST,6,$930
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, April 16, 2021",6:27 AM EST,11.5,$930
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, April 9, 2021",5:27 PM EST,7,$878
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, April 4, 2021",8:47 PM EST,11,"$1,161"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, April 1, 2021",3:21 AM EST,7,$825
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, March 31, 2021",6:27 PM EST,11,"$1,055"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, March 28, 2021",7:36 PM EST,11.5,$936
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, March 24, 2021",11:44 AM EST,6.5,$850
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, March 23, 2021",12:42 PM EST,9,"$1,549"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, March 23, 2021",8:40 AM EST,10,"$1,097"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, March 18, 2021",6:19 PM EST,12.5,$910
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, March 15, 2021",3:46 PM EST,9.5,"$1,866"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, March 9, 2021",1:25 PM EST,12,$761
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, March 9, 2021",1:23 PM EST,12.5,$793
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, March 7, 2021",10:46 AM EST,12.5,"$1,020"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, February 28, 2021",10:34 AM EST,11.5,"$1,093"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, February 22, 2021",8:20 PM EST,10.5,"$1,182"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, February 17, 2021",11:02 AM EST,6,$825
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, February 14, 2021",6:46 PM EST,12,"$1,150"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, February 14, 2021",1:49 AM EST,8,"$1,449"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, February 10, 2021",11:06 PM EST,13.5,$750
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, February 6, 2021",9:21 PM EST,13.5,$680
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, February 6, 2021",1:21 PM EST,11.5,"$1,200"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, February 5, 2021",6:29 PM EST,10.5,"$1,150"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, February 4, 2021",10:52 AM EST,10.5,"$1,126"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, January 31, 2021",3:28 PM EST,10,"$1,287"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, January 29, 2021",6:20 PM EST,9.5,"$1,126"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, January 29, 2021",3:29 PM EST,13.5,$650
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, January 27, 2021",3:29 PM EST,8,"$1,367"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, January 25, 2021",5:27 PM EST,13.5,$400
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, January 25, 2021",5:26 PM EST,13.5,$400
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, January 25, 2021",2:06 PM EST,11,"$1,270"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, January 25, 2021",10:27 AM EST,11,"$1,250"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, January 24, 2021",1:01 AM EST,11.5,"$1,250"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, January 23, 2021",12:31 PM EST,8,"$1,109"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, January 22, 2021",8:49 PM EST,11,"$1,119"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, January 20, 2021",1:10 AM EST,9,"$1,741"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, January 13, 2021",12:48 AM EST,11,"$1,128"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, January 13, 2021",1:47 AM EST,6.5,$967
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, January 8, 2021",3:07 PM EST,10.5,"$1,110"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, January 7, 2021",7:15 PM EST,9,"$1,350"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, January 4, 2021",8:04 PM EST,12,"$1,101"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, January 4, 2021",2:32 PM EST,11.5,"$1,250"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, January 2, 2021",12:39 PM EST,10,"$1,602"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, December 30, 2020",8:35 PM EST,9,"$1,470"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, December 30, 2020",12:30 PM EST,12.5,"$1,089"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, December 20, 2020",11:08 PM EST,11,"$1,200"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, December 12, 2020",8:32 PM EST,10,"$1,300"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Wednesday, December 9, 2020",12:32 AM EST,8,"$1,209"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, December 8, 2020",10:21 PM EST,6,"$1,246"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Saturday, December 5, 2020",10:39 PM EST,8,"$1,114"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, December 4, 2020",5:18 AM EST,10,"$1,210"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, December 3, 2020",11:58 PM EST,11,"$1,079"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Friday, November 27, 2020",10:39 AM EST,6.5,$790
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, November 26, 2020",9:36 AM EST,12,"$1,200"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, November 23, 2020",5:03 PM EST,9,"$1,315"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Sunday, November 22, 2020",5:04 PM EST,9,"$1,130"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Thursday, November 19, 2020",8:20 PM EST,10,"$1,200"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, November 17, 2020",4:54 PM EST,10,"$1,050"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Tuesday, November 17, 2020",1:07 PM EST,12.5,"$1,141"
adidas Yeezy Boost 750 Light Grey Glow In the Dark,YZY750-GLOW,"Monday, November 16, 2020",8:14 PM EST,9,"$1,252"
