name,ticker,date,time,size,price
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, June 25, 2021",2:52 AM EST,11.5,$604
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, February 16, 2021",12:16 AM EST,10,"$1,650"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, November 30, 2020",7:35 PM EST,11,$850
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, October 13, 2020",6:59 PM EST,9,$845
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, October 12, 2020",9:29 PM EST,8.5,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, September 22, 2020",11:32 PM EST,8,$750
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, August 4, 2020",1:09 PM EST,9.5,$999
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, April 29, 2020",9:05 AM EST,11.5,$788
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, March 25, 2020",5:19 PM EST,8,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, December 27, 2019",8:56 AM EST,10.5,$550
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, November 28, 2019",1:41 AM EST,11,"$1,300"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, November 13, 2019",8:28 PM EST,7,$350
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, October 31, 2019",10:45 AM EST,7.5,$391
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, October 30, 2019",6:46 PM EST,9.5,$641
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, October 17, 2019",5:58 PM EST,10,$450
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, September 24, 2019",11:33 PM EST,12.5,$455
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, September 19, 2019",2:30 AM EST,7.5,$246
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, August 12, 2019",2:48 PM EST,9.5,$605
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, January 18, 2019",6:31 AM EST,9.5,$650
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, December 2, 2018",7:48 PM EST,7.5,$567
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, November 28, 2018",5:07 AM EST,9.5,$801
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, November 27, 2018",3:06 PM EST,9.5,$461
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, November 25, 2018",12:14 AM EST,7.5,$350
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, September 18, 2018",3:40 PM EST,11.5,$500
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, August 30, 2018",7:21 PM EST,11.5,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, August 30, 2018",2:55 AM EST,10,$350
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, August 11, 2018",12:14 AM EST,9.5,$585
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, May 11, 2018",10:40 AM EST,8.5,$618
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, March 30, 2018",2:05 AM EST,10,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, March 14, 2018",12:16 PM EST,10,"$1,100"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, December 7, 2017",8:14 PM EST,10.5,$650
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, November 17, 2017",4:00 PM EST,9.5,$875
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, November 11, 2017",10:08 PM EST,11.5,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, October 26, 2017",3:04 PM EST,7.5,$950
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, September 28, 2017",10:51 AM EST,9.5,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, September 12, 2017",10:15 PM EST,11.5,$625
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, August 28, 2017",8:53 PM EST,7.5,$950
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, August 26, 2017",7:26 PM EST,11.5,$650
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, August 10, 2017",5:39 AM EST,8.5,$500
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, July 24, 2017",2:34 PM EST,11,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, May 23, 2017",9:32 AM EST,6.5,$803
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, April 14, 2017",10:06 AM EST,10,$950
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, February 24, 2017",1:04 PM EST,8,$624
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, January 18, 2017",4:29 PM EST,7,$721
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, December 26, 2016",9:53 PM EST,9,$680
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, December 2, 2016",2:04 PM EST,9.5,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, October 26, 2016",10:18 PM EST,8.5,"$1,032"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, October 3, 2016",1:10 PM EST,8.5,$400
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, September 10, 2016",4:50 AM EST,9,$752
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, September 9, 2016",11:25 AM EST,7,$675
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, August 18, 2016",8:27 AM EST,10,$777
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, August 16, 2016",9:50 AM EST,9,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, August 9, 2016",4:21 PM EST,9,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, July 21, 2016",3:03 PM EST,8,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, July 20, 2016",1:55 PM EST,10,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, July 13, 2016",7:21 AM EST,9,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, July 3, 2016",7:41 PM EST,12,$777
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, June 30, 2016",10:05 AM EST,10,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, June 25, 2016",1:44 AM EST,8.5,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, June 19, 2016",12:19 PM EST,8.5,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, June 15, 2016",10:39 PM EST,10,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, June 13, 2016",12:09 PM EST,9,$619
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, May 11, 2016",9:54 PM EST,11,$645
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, May 10, 2016",11:31 AM EST,10,$607
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, May 3, 2016",2:05 PM EST,8.5,$607
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, April 17, 2016",12:34 PM EST,9,$612
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, April 17, 2016",12:34 PM EST,10,$612
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, April 14, 2016",12:34 PM EST,10,$607
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, March 7, 2016",11:15 AM EST,11,$712
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, March 3, 2016",3:15 PM EST,8,"$1,112"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, February 22, 2016",7:47 PM EST,9.5,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, February 21, 2016",7:49 AM EST,9,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, February 13, 2016",11:17 AM EST,7,$662
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, February 6, 2016",7:16 AM EST,9.5,$862
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, January 31, 2016",3:28 PM EST,7.5,$650
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, January 28, 2016",11:16 AM EST,9,$612
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, January 26, 2016",7:14 PM EST,8.5,$700
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, January 21, 2016",3:46 PM EST,11.5,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, January 20, 2016",7:16 PM EST,9.5,$662
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, January 18, 2016",11:17 PM EST,10,$712
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, January 16, 2016",11:46 AM EST,8.5,$650
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, January 14, 2016",11:30 AM EST,11,$800
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, January 7, 2016",7:45 PM EST,9.5,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, January 5, 2016",11:47 AM EST,10,$800
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, January 4, 2016",3:47 PM EST,10.5,$800
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, December 28, 2015",3:45 PM EST,8.5,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, December 25, 2015",11:46 AM EST,9.5,$800
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, December 25, 2015",7:47 AM EST,10,$850
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, December 24, 2015",3:13 PM EST,11.5,$707
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, December 23, 2015",3:45 PM EST,8.5,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, December 21, 2015",11:46 PM EST,12,$800
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, December 21, 2015",11:46 PM EST,12,$900
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, December 19, 2015",7:16 PM EST,8.5,$662
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, December 14, 2015",3:29 PM EST,8.5,$600
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Monday, December 7, 2015",3:11 PM EST,9.5,$662
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, December 2, 2015",11:32 AM EST,10.5,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, November 29, 2015",3:33 PM EST,6.5,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, November 27, 2015",3:40 PM EST,8,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, November 25, 2015",3:33 PM EST,10.5,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, November 25, 2015",11:44 AM EST,9,$900
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Wednesday, November 25, 2015",11:44 AM EST,12,$950
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, November 24, 2015",3:31 PM EST,9.5,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, November 17, 2015",3:21 PM EST,10.5,$900
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, November 15, 2015",7:03 AM EST,9,"$1,200"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Saturday, November 14, 2015",11:07 AM EST,8,"$1,200"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Thursday, November 12, 2015",11:09 AM EST,7,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Tuesday, November 10, 2015",7:10 AM EST,9,"$1,000"
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Sunday, November 8, 2015",11:09 PM EST,10.5,$950
adidas Yeezy Boost 950 Chocolate,YZY950-CHOCO,"Friday, November 6, 2015",11:08 PM EST,11,"$1,000"
