name,ticker,date,time,size,price
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, July 5, 2021",5:31 PM EST,9.5,$666
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, July 3, 2021",12:25 AM EST,10.5,$646
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, July 3, 2021",1:12 AM EST,9.5,$650
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, July 1, 2021",7:52 PM EST,12,$490
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, July 1, 2021",1:13 AM EST,9.5,$650
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, June 30, 2021",10:04 PM EST,7.5,$607
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, June 28, 2021",12:21 PM EST,5.5,$520
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, June 28, 2021",5:25 AM EST,8,$528
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, June 27, 2021",10:41 PM EST,8,$527
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, June 25, 2021",1:13 PM EST,9.5,$840
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, June 25, 2021",12:50 PM EST,11,$682
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, June 24, 2021",3:14 AM EST,9.5,$589
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, June 22, 2021",9:17 PM EST,9,$545
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, June 20, 2021",7:01 PM EST,6.5,$699
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, June 19, 2021",9:54 PM EST,11,$595
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, June 19, 2021",12:08 PM EST,12,$610
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, June 17, 2021",8:10 AM EST,10,$701
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, June 17, 2021",3:58 AM EST,9.5,$588
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, June 16, 2021",1:11 AM EST,10.5,$572
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, June 16, 2021",1:03 AM EST,8.5,$571
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, June 15, 2021",9:01 PM EST,11.5,$565
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, June 14, 2021",11:56 AM EST,12,$610
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, June 13, 2021",10:50 PM EST,11.5,$490
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, June 13, 2021",10:40 AM EST,9.5,$575
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, June 12, 2021",6:27 PM EST,7,$696
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, June 12, 2021",2:42 PM EST,11,$595
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, June 11, 2021",8:21 PM EST,6.5,$650
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, June 9, 2021",8:32 PM EST,12,$617
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, June 8, 2021",12:35 PM EST,13,$630
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, June 7, 2021",11:25 PM EST,7.5,$500
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, June 6, 2021",11:27 AM EST,10,$581
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, June 5, 2021",8:57 PM EST,10.5,$640
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, June 4, 2021",8:29 PM EST,9,$401
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, June 2, 2021",9:29 AM EST,10,$520
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, May 31, 2021",11:22 AM EST,8.5,$517
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, May 24, 2021",9:45 PM EST,9.5,$643
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, May 21, 2021",12:32 AM EST,9.5,$630
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, May 21, 2021",4:10 PM EST,9,$530
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, May 20, 2021",11:48 PM EST,11,$585
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, May 20, 2021",3:08 PM EST,12,$729
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, May 20, 2021",9:07 AM EST,9.5,$640
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, May 19, 2021",5:54 PM EST,12,$594
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, May 13, 2021",1:42 PM EST,11,$497
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, May 12, 2021",12:08 AM EST,10.5,$599
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, May 12, 2021",6:34 PM EST,8.5,$596
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, May 11, 2021",9:12 AM EST,11.5,$594
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, May 8, 2021",10:40 PM EST,10.5,$580
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, May 8, 2021",6:08 PM EST,13,$550
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, May 8, 2021",4:53 AM EST,10.5,$839
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, May 7, 2021",3:33 PM EST,9,$587
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, May 7, 2021",10:33 AM EST,9,$560
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, May 5, 2021",2:26 PM EST,6,$570
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, May 4, 2021",9:22 PM EST,9,$570
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, May 4, 2021",7:59 PM EST,10.5,$583
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, May 2, 2021",3:10 PM EST,6,$500
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, May 1, 2021",12:42 PM EST,8.5,$578
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, April 29, 2021",12:23 AM EST,10,$599
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, April 29, 2021",1:02 PM EST,11.5,$590
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, April 29, 2021",12:22 PM EST,12,$572
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, April 29, 2021",9:55 AM EST,7.5,$500
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, April 28, 2021",5:26 AM EST,11.5,$593
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, April 27, 2021",11:16 PM EST,11,$552
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Monday, April 26, 2021",1:35 PM EST,12,$595
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, April 25, 2021",8:07 PM EST,10.5,$573
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, April 25, 2021",3:23 PM EST,10,$550
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Sunday, April 25, 2021",10:28 AM EST,10.5,$550
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Thursday, April 22, 2021",7:01 PM EST,11,$460
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, April 21, 2021",12:21 AM EST,8.5,$596
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Wednesday, April 21, 2021",9:16 AM EST,10.5,$485
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Tuesday, April 20, 2021",11:02 AM EST,11,$460
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, April 17, 2021",9:09 PM EST,6,$550
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Saturday, April 17, 2021",2:43 PM EST,10,$565
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, April 16, 2021",5:24 PM EST,8.5,$550
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, April 16, 2021",5:16 PM EST,10,$550
adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,"Friday, April 16, 2021",3:19 PM EST,5,$502
