name,ticker,date,time,size,price
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, July 6, 2021",4:27 PM EST,7.5,$450
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, July 5, 2021",4:18 AM EST,9.5,$428
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Sunday, July 4, 2021",8:04 AM EST,9.5,$428
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, July 3, 2021",4:39 PM EST,11,$416
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, July 3, 2021",11:37 AM EST,10,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 28, 2021",8:16 AM EST,5,$430
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Sunday, June 27, 2021",11:37 PM EST,11,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, June 26, 2021",8:00 AM EST,10.5,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 25, 2021",5:32 PM EST,5,$416
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 25, 2021",5:32 PM EST,8.5,$368
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 24, 2021",9:25 AM EST,10,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, June 22, 2021",4:20 PM EST,9,$320
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, June 22, 2021",7:26 AM EST,11.5,$504
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 21, 2021",6:53 PM EST,15,$493
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 21, 2021",5:21 PM EST,11.5,$450
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 21, 2021",4:48 PM EST,9.5,$415
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 21, 2021",4:12 PM EST,7,$421
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 21, 2021",2:52 PM EST,4,$381
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 21, 2021",11:17 AM EST,10,$383
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, June 19, 2021",11:25 PM EST,11.5,$436
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 18, 2021",9:32 PM EST,10.5,$403
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 17, 2021",9:01 PM EST,10.5,$348
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 17, 2021",5:55 PM EST,6.5,$450
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 17, 2021",5:05 PM EST,11.5,$452
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 16, 2021",5:31 PM EST,10,$399
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 16, 2021",12:09 PM EST,8.5,$399
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 16, 2021",7:41 AM EST,12,$436
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, June 15, 2021",5:05 PM EST,9.5,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, June 15, 2021",7:53 AM EST,6,$434
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 14, 2021",4:04 AM EST,13,$390
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 11, 2021",7:14 PM EST,10.5,$325
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 11, 2021",12:12 PM EST,10,$404
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 10, 2021",10:43 PM EST,6,$384
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 10, 2021",9:16 PM EST,10,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 10, 2021",11:50 AM EST,10,$386
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 10, 2021",3:36 AM EST,8.5,$371
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 9, 2021",6:28 PM EST,16,$475
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, June 8, 2021",10:20 PM EST,9.5,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, June 8, 2021",2:04 PM EST,11.5,$451
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, June 7, 2021",2:48 PM EST,10,$395
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Sunday, June 6, 2021",7:39 AM EST,7,$425
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 4, 2021",1:19 PM EST,10.5,$414
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 4, 2021",9:45 AM EST,9,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, June 4, 2021",5:05 AM EST,11.5,$459
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 3, 2021",8:48 AM EST,10,$499
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, June 3, 2021",3:41 AM EST,6,$399
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 2, 2021",1:26 PM EST,8,$620
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 2, 2021",8:50 AM EST,7,$446
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, June 2, 2021",7:14 AM EST,10,$446
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, May 31, 2021",8:46 PM EST,4,$369
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, May 29, 2021",4:46 PM EST,10,$444
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, May 29, 2021",11:44 AM EST,12.5,$437
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, May 28, 2021",7:58 AM EST,11.5,$426
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, May 28, 2021",5:18 AM EST,10,$410
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 27, 2021",12:21 AM EST,10.5,$405
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 27, 2021",12:21 AM EST,5.5,$518
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 27, 2021",10:32 PM EST,11.5,$427
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 27, 2021",12:15 PM EST,7.5,$374
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 27, 2021",12:15 PM EST,13,$396
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 27, 2021",3:54 AM EST,8,$496
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, May 26, 2021",7:19 PM EST,12,$292
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Sunday, May 23, 2021",9:05 PM EST,11.5,$513
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, May 21, 2021",11:57 PM EST,12.5,$400
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Thursday, May 20, 2021",5:57 PM EST,10,$411
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, May 18, 2021",12:21 AM EST,12,$337
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, May 18, 2021",7:47 PM EST,4.5,$452
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, May 18, 2021",7:19 PM EST,11,$428
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, May 17, 2021",5:54 PM EST,5.5,$399
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Monday, May 17, 2021",1:22 PM EST,8.5,$371
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Sunday, May 16, 2021",11:21 AM EST,7.5,$445
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Saturday, May 15, 2021",7:12 AM EST,8.5,$371
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Friday, May 14, 2021",4:00 PM EST,16,$525
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, May 12, 2021",5:08 PM EST,9,$372
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Wednesday, May 12, 2021",3:00 PM EST,9.5,$389
adidas Yeezy Boost 700 Teal Blue,YZYB700-TLBLU,"Tuesday, May 11, 2021",4:55 PM EST,6,$382
