name,ticker,date,time,size,price
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Thursday, July 1, 2021",2:59 PM EST,7K,$374
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Friday, June 25, 2021",9:53 PM EST,4K,$288
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Friday, June 25, 2021",9:51 PM EST,8K,$310
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Thursday, June 17, 2021",4:04 PM EST,6K,$429
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Thursday, June 10, 2021",7:06 AM EST,5K,$473
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Wednesday, June 2, 2021",6:05 PM EST,7K,$400
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Saturday, May 29, 2021",11:34 PM EST,4K,$300
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Saturday, May 29, 2021",9:32 PM EST,8K,$320
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Friday, May 28, 2021",3:26 AM EST,7.5K,$410
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Thursday, May 27, 2021",8:16 PM EST,9K,$297
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Monday, May 24, 2021",4:42 PM EST,7.5K,$377
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Monday, May 24, 2021",3:10 PM EST,6K,$350
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Sunday, May 23, 2021",10:17 PM EST,9K,$333
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Saturday, May 22, 2021",11:18 AM EST,6.5K,$497
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Thursday, May 20, 2021",9:42 PM EST,5.5K,$223
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Thursday, May 20, 2021",5:20 PM EST,5K,$437
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Wednesday, May 19, 2021",3:48 PM EST,10K,$477
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Tuesday, May 18, 2021",7:07 PM EST,5K,$435
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Sunday, May 16, 2021",10:37 AM EST,5.5K,$608
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Sunday, May 16, 2021",10:16 AM EST,5.5K,$592
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Wednesday, May 12, 2021",9:58 AM EST,9K,$380
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Tuesday, May 11, 2021",12:26 AM EST,9K,$280
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Monday, May 10, 2021",6:31 PM EST,9K,$275
adidas Yeezy Boost 700 Wave Runner Solid Grey (Infant),YZYB700-WRSGI,"Saturday, May 1, 2021",5:33 AM EST,6.5K,$589
