name,ticker,date,time,size,price
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Sunday, July 4, 2021",2:43 PM EST,1,$273
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Thursday, July 1, 2021",11:15 AM EST,1,$239
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Thursday, July 1, 2021",2:10 AM EST,12K,$277
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Wednesday, June 30, 2021",10:46 PM EST,10.5K,$449
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Saturday, June 26, 2021",4:38 PM EST,13K,$311
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Thursday, June 24, 2021",3:02 PM EST,12.5K,$393
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Monday, June 21, 2021",9:50 PM EST,1,$290
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Monday, June 21, 2021",7:48 AM EST,12K,$381
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Friday, June 18, 2021",6:55 PM EST,2.5,$367
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Friday, June 18, 2021",9:53 AM EST,2.5,$236
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Thursday, June 17, 2021",5:30 PM EST,2.5,$348
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Wednesday, June 16, 2021",2:09 PM EST,1.5,$288
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Wednesday, June 9, 2021",7:51 AM EST,13.5K,$151
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Tuesday, June 8, 2021",6:05 PM EST,2.5,$378
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Friday, June 4, 2021",3:18 AM EST,13K,$313
adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids),YZYB700-WRSGK,"Thursday, June 3, 2021",1:57 PM EST,1,$299
