name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, July 6, 2021",8:19 PM EST,8.5,$529
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, July 6, 2021",2:23 PM EST,9,$471
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, July 6, 2021",10:50 AM EST,11,$530
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, July 5, 2021",11:33 PM EST,5.5,$659
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, July 5, 2021",11:18 PM EST,12,$554
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, July 5, 2021",8:28 PM EST,10.5,$560
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, July 5, 2021",8:10 PM EST,10,$470
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, July 4, 2021",10:08 PM EST,4,$490
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, July 4, 2021",3:50 PM EST,12,$520
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Friday, July 2, 2021",12:55 AM EST,11,$451
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Thursday, July 1, 2021",7:01 PM EST,8,$539
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Thursday, July 1, 2021",2:17 AM EST,8,$491
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Wednesday, June 30, 2021",1:02 PM EST,9,$567
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 27, 2021",10:39 PM EST,9.5,$501
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 27, 2021",2:49 PM EST,8,$491
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 27, 2021",12:47 PM EST,9,$565
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 27, 2021",12:07 PM EST,9,$490
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 27, 2021",11:44 AM EST,11.5,$810
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 27, 2021",1:55 AM EST,14,$575
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Saturday, June 26, 2021",5:40 PM EST,10,$520
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Friday, June 25, 2021",12:39 AM EST,11,$600
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Friday, June 25, 2021",9:40 PM EST,8,$491
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, June 22, 2021",7:20 PM EST,8,$694
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, June 22, 2021",7:53 AM EST,10.5,$794
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, June 21, 2021",6:46 PM EST,7.5,$643
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, June 21, 2021",5:23 PM EST,11,$594
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Saturday, June 19, 2021",9:47 AM EST,9.5,$627
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Friday, June 18, 2021",2:06 PM EST,10.5,$500
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Friday, June 18, 2021",7:25 AM EST,10,$473
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Thursday, June 17, 2021",11:27 PM EST,12,$559
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Wednesday, June 16, 2021",1:31 PM EST,15,$590
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, June 15, 2021",5:08 PM EST,9,$435
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Tuesday, June 15, 2021",1:20 PM EST,9.5,$661
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, June 14, 2021",10:56 PM EST,10,$520
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, June 14, 2021",10:45 PM EST,10,$500
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, June 14, 2021",3:27 PM EST,9.5,$684
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Monday, June 14, 2021",9:26 AM EST,12,$500
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 13, 2021",12:15 PM EST,9.5,$550
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Sunday, June 13, 2021",11:26 AM EST,7,$525
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Saturday, June 12, 2021",2:03 PM EST,8,$515
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Friday, June 11, 2021",3:28 PM EST,8,$517
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Thursday, June 10, 2021",6:31 PM EST,4,$568
adidas Yeezy Boost 700 V2 Vanta,YZYB700V2-VNT,"Thursday, June 10, 2021",12:14 PM EST,10,$509
