name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, June 28, 2021",2:26 AM EST,10.5K,$155
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, June 26, 2021",8:16 AM EST,13K,$180
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, June 18, 2021",11:43 AM EST,11.5K,$204
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Sunday, June 13, 2021",12:21 PM EST,2,$280
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, June 7, 2021",3:00 AM EST,1.5,$210
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, June 4, 2021",3:11 PM EST,1.5,$211
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, May 13, 2021",6:20 PM EST,2,$375
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, May 8, 2021",5:19 PM EST,2,$275
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, May 7, 2021",12:05 PM EST,13K,$234
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, April 23, 2021",4:21 AM EST,2,$370
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, April 19, 2021",2:42 PM EST,12K,$218
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, April 16, 2021",7:59 AM EST,3,$348
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, April 10, 2021",7:54 AM EST,11.5K,$250
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, April 6, 2021",4:58 AM EST,10.5K,$156
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, April 6, 2021",1:57 AM EST,10.5K,$155
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, March 30, 2021",5:05 PM EST,3,$222
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, March 29, 2021",2:18 AM EST,12K,$261
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Sunday, March 28, 2021",1:08 PM EST,3,$348
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, March 27, 2021",8:48 PM EST,2,$249
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, March 27, 2021",11:47 AM EST,13K,$219
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, March 25, 2021",1:30 PM EST,13K,$217
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Wednesday, March 24, 2021",8:33 PM EST,12.5K,$285
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, March 19, 2021",3:33 PM EST,2,$248
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Wednesday, March 17, 2021",6:46 PM EST,13K,$123
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, March 16, 2021",9:20 PM EST,13K,$119
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Sunday, March 14, 2021",4:00 PM EST,2,$249
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, March 13, 2021",12:09 AM EST,13K,$119
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, March 13, 2021",4:46 AM EST,11K,$349
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, March 12, 2021",11:40 PM EST,13K,$150
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, March 9, 2021",12:59 PM EST,13K,$118
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, March 1, 2021",12:05 AM EST,13K,$109
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, March 1, 2021",9:45 AM EST,11.5K,$248
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, February 18, 2021",11:17 PM EST,13K,$101
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, February 18, 2021",9:02 AM EST,13K,$215
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, February 12, 2021",4:03 PM EST,13K,$113
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, February 12, 2021",4:01 PM EST,13K,$115
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, February 8, 2021",12:18 PM EST,13K,$169
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Sunday, January 31, 2021",2:36 PM EST,13K,$110
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, January 29, 2021",3:14 PM EST,13K,$140
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, January 29, 2021",3:13 PM EST,13K,$141
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, January 25, 2021",5:40 PM EST,13K,$141
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, December 11, 2020",8:58 PM EST,3,$348
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Sunday, December 6, 2020",5:15 PM EST,2.5,$336
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, December 5, 2020",11:27 PM EST,12K,$200
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, November 30, 2020",3:15 PM EST,2,$286
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, November 28, 2020",4:52 AM EST,1.5,$147
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, November 27, 2020",3:33 PM EST,10.5K,$254
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Sunday, November 8, 2020",9:47 AM EST,13.5K,$349
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, November 5, 2020",11:08 AM EST,2.5,$280
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, October 29, 2020",5:24 PM EST,1,$274
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Wednesday, October 28, 2020",2:11 AM EST,3,$338
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Wednesday, October 28, 2020",2:05 AM EST,3,$340
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, October 23, 2020",6:15 PM EST,2.5,$250
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, October 23, 2020",12:27 PM EST,3,$340
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, October 23, 2020",12:24 PM EST,2.5,$262
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, October 23, 2020",12:22 PM EST,2,$149
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, October 23, 2020",12:18 PM EST,1.5,$146
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, October 22, 2020",2:09 PM EST,3,$460
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, October 20, 2020",9:28 PM EST,2.5,$264
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, October 15, 2020",6:56 AM EST,2,$148
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, October 9, 2020",11:02 PM EST,13K,$140
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, October 6, 2020",4:48 PM EST,1.5,$141
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, October 5, 2020",2:13 AM EST,2.5,$260
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, September 29, 2020",2:30 PM EST,1.5,$200
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, September 25, 2020",12:43 AM EST,13K,$145
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, September 24, 2020",11:30 AM EST,2.5,$262
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, September 22, 2020",5:31 PM EST,13K,$150
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, September 22, 2020",5:30 PM EST,13K,$110
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Tuesday, September 15, 2020",1:53 PM EST,1.5,$140
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, September 12, 2020",1:18 PM EST,13K,$170
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, September 12, 2020",1:08 PM EST,13K,$161
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Saturday, September 12, 2020",1:07 PM EST,13K,$162
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, September 11, 2020",4:29 AM EST,2.5,$240
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Thursday, September 10, 2020",11:30 AM EST,13K,$190
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, September 7, 2020",11:39 PM EST,13K,$165
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, September 7, 2020",4:38 PM EST,13K,$160
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Wednesday, September 2, 2020",12:18 AM EST,13K,$190
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Monday, August 31, 2020",9:44 PM EST,3,$302
adidas Yeezy Boost 700 V2 Vanta (Kids),YZYB700V2-VNTPS,"Friday, August 28, 2020",11:56 PM EST,2,$189
