name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Monday, June 7, 2021",3:43 PM EST,7K,$166
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Sunday, May 16, 2021",4:09 PM EST,4K,$250
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Tuesday, May 4, 2021",10:14 AM EST,7.5K,$214
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Saturday, April 24, 2021",1:54 PM EST,8K,$340
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Monday, April 12, 2021",8:50 PM EST,6K,$299
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Sunday, April 11, 2021",10:07 AM EST,4K,$267
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Sunday, March 28, 2021",7:29 PM EST,4K,$165
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Wednesday, March 24, 2021",5:39 PM EST,5K,$170
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Wednesday, March 24, 2021",2:27 PM EST,10K,$285
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Sunday, March 14, 2021",1:31 AM EST,9K,$350
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Friday, March 5, 2021",9:49 PM EST,8K,$200
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Thursday, March 4, 2021",5:30 AM EST,7K,$294
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Wednesday, March 3, 2021",12:01 AM EST,8K,$170
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Monday, March 1, 2021",11:31 AM EST,5K,$384
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Tuesday, February 16, 2021",1:09 PM EST,4K,$200
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Friday, February 12, 2021",10:34 AM EST,6K,$249
adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,"Tuesday, February 9, 2021",9:13 PM EST,8K,$195
