name,ticker,date,time,size,price
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Tuesday, July 6, 2021",12:18 AM EST,11,$504
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Tuesday, July 6, 2021",1:41 AM EST,8,$155
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Sunday, July 4, 2021",10:46 AM EST,11,$200
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Sunday, July 4, 2021",10:16 AM EST,7,$95
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Wednesday, June 30, 2021",5:38 AM EST,10,$145
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Saturday, June 26, 2021",12:51 AM EST,7.5,$125
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Saturday, June 26, 2021",10:49 AM EST,9.5,$140
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Friday, June 25, 2021",12:49 AM EST,10,$150
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Monday, June 21, 2021",4:47 PM EST,11,$195
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Sunday, June 20, 2021",3:52 PM EST,10,$149
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Saturday, June 19, 2021",2:40 PM EST,10.5,$102
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Tuesday, June 15, 2021",4:47 PM EST,10,$150
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Monday, June 14, 2021",12:00 AM EST,11.5,$180
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Monday, June 14, 2021",11:41 PM EST,13,$199
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Monday, June 14, 2021",10:39 PM EST,7,$85
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Sunday, June 13, 2021",7:53 PM EST,9.5,$165
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Sunday, June 13, 2021",7:04 PM EST,9,$110
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Saturday, June 12, 2021",3:28 PM EST,9.5,$150
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Saturday, June 12, 2021",2:18 AM EST,11.5,$185
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Friday, June 11, 2021",10:41 AM EST,10.5,$175
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Wednesday, June 9, 2021",3:07 PM EST,9.5,$135
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Monday, June 7, 2021",2:45 PM EST,7,$115
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Saturday, June 5, 2021",4:33 AM EST,8.5,$218
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Monday, May 31, 2021",10:34 PM EST,11,$200
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Sunday, May 30, 2021",8:24 AM EST,10,$187
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Thursday, May 27, 2021",6:19 PM EST,13,$168
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Thursday, May 27, 2021",6:17 PM EST,10.5,$214
adidas Yeezy Powerphase Clear Brown,YZYPP-CB,"Thursday, May 27, 2021",11:46 AM EST,9,$110
