name,ticker,date,time,size,price
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Sunday, July 4, 2021",10:45 AM EST,8,$145
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Monday, June 21, 2021",1:28 PM EST,11.5,$214
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Sunday, June 20, 2021",8:48 PM EST,7,$115
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Saturday, June 19, 2021",4:43 AM EST,7,$90
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Friday, June 18, 2021",4:08 PM EST,5,$149
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Thursday, June 17, 2021",4:21 AM EST,6.5,$90
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Sunday, June 13, 2021",1:27 AM EST,7,$90
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Friday, June 11, 2021",3:44 AM EST,12,$185
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Friday, June 4, 2021",3:10 AM EST,7,$92
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Thursday, June 3, 2021",12:32 PM EST,7,$92
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Wednesday, June 2, 2021",6:56 PM EST,12.5,$131
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Tuesday, June 1, 2021",1:03 AM EST,11,$277
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Friday, May 28, 2021",10:50 AM EST,6.5,$101
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Thursday, May 27, 2021",12:32 PM EST,7.5,$90
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Wednesday, May 26, 2021",3:09 AM EST,7,$92
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Tuesday, May 25, 2021",6:53 AM EST,7.5,$90
adidas Yeezy Powerphase Quiet Grey,YZYPP-QG,"Tuesday, May 25, 2021",4:22 AM EST,7.5,$90
