name,ticker,date,time,size,price
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Saturday, July 3, 2021",11:21 AM EST,10.5,$106
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Friday, July 2, 2021",5:38 PM EST,9,$140
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Friday, July 2, 2021",6:25 AM EST,10,$130
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Thursday, July 1, 2021",6:49 PM EST,13,$226
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Wednesday, June 30, 2021",8:09 PM EST,9.5,$110
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Monday, June 28, 2021",6:38 AM EST,7.5,$125
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Friday, June 25, 2021",4:31 PM EST,9.5,$159
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Thursday, June 24, 2021",9:32 PM EST,10.5,$175
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Wednesday, June 23, 2021",7:30 PM EST,7,$82
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Tuesday, June 22, 2021",9:39 PM EST,8.5,$115
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Sunday, June 20, 2021",6:47 PM EST,11,$159
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Saturday, June 19, 2021",4:43 AM EST,5,$125
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Friday, June 18, 2021",11:35 PM EST,11,$153
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Friday, June 18, 2021",11:34 PM EST,11,$150
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Friday, June 18, 2021",8:07 AM EST,10.5,$152
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Thursday, June 17, 2021",10:40 AM EST,12,$228
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Thursday, June 17, 2021",4:23 AM EST,4.5,$110
adidas Yeezy Powerphase Simple Brown,YZYPP-SB,"Wednesday, June 16, 2021",9:35 PM EST,9,$111
