name,ticker,date,time,size,price
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Tuesday, July 6, 2021",6:55 AM EST,8,$85
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Tuesday, July 6, 2021",3:38 AM EST,8,$84
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Monday, July 5, 2021",8:21 PM EST,5.5,$54
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Monday, July 5, 2021",4:51 PM EST,9.5,$189
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Monday, July 5, 2021",1:08 PM EST,11,$190
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Sunday, July 4, 2021",9:24 PM EST,7,$49
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Sunday, July 4, 2021",7:41 PM EST,7,$49
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Sunday, July 4, 2021",6:24 PM EST,8.5,$90
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Sunday, July 4, 2021",7:23 AM EST,11,$135
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Saturday, July 3, 2021",9:21 PM EST,13,$115
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Saturday, July 3, 2021",7:59 PM EST,11,$120
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Saturday, July 3, 2021",10:51 AM EST,10,$125
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Friday, July 2, 2021",11:13 AM EST,9.5,$179
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Friday, July 2, 2021",11:11 AM EST,5,$45
adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,"Thursday, July 1, 2021",9:53 PM EST,8,$81
