name,ticker,date,time,size,price
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Sunday, July 4, 2021",10:31 PM EST,14,$202
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Wednesday, June 30, 2021",6:07 PM EST,10,$375
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Wednesday, June 30, 2021",4:16 PM EST,11,$350
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Sunday, June 27, 2021",10:51 PM EST,10,$349
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Tuesday, June 22, 2021",8:32 AM EST,11,$479
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Monday, June 21, 2021",6:04 PM EST,9.5,$300
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Tuesday, June 15, 2021",8:44 AM EST,10,$276
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Saturday, June 12, 2021",11:11 AM EST,12,$346
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Thursday, June 10, 2021",11:49 AM EST,10.5,$278
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Thursday, June 10, 2021",1:04 AM EST,10.5,$300
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Wednesday, June 9, 2021",6:59 AM EST,11.5,$360
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Monday, June 7, 2021",11:07 AM EST,10,$300
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Friday, June 4, 2021",11:20 PM EST,13,$300
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Friday, June 4, 2021",9:12 PM EST,9,$310
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Wednesday, June 2, 2021",10:48 PM EST,9,$305
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Saturday, May 29, 2021",10:02 PM EST,4,$200
adidas Yeezy Powerphase Calabasas Core White,YZYPWRPH-CWHT,"Wednesday, May 26, 2021",12:46 AM EST,10.5,$312
