name,ticker,date,time,size,price
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Tuesday, July 6, 2021",11:09 PM EST,10,$169
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Tuesday, July 6, 2021",2:52 PM EST,9.5,$225
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Tuesday, July 6, 2021",11:09 AM EST,13,$113
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Monday, July 5, 2021",8:48 PM EST,10,$152
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Monday, July 5, 2021",6:15 PM EST,10,$168
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Sunday, July 4, 2021",8:48 PM EST,10,$165
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Sunday, July 4, 2021",8:35 AM EST,4,$53
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Saturday, July 3, 2021",5:31 PM EST,11,$177
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Friday, July 2, 2021",3:48 AM EST,11,$176
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Tuesday, June 29, 2021",6:54 PM EST,9,$152
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Tuesday, June 29, 2021",6:04 PM EST,12,$198
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Sunday, June 27, 2021",9:39 PM EST,9,$150
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Saturday, June 26, 2021",10:47 AM EST,9.5,$134
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Thursday, June 24, 2021",11:41 PM EST,11,$175
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Saturday, June 19, 2021",2:18 AM EST,11,$160
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Thursday, June 17, 2021",11:42 AM EST,7.5,$125
adidas Yeezy Powerphase Calabasas Grey,YZYPWRPH-GRY,"Saturday, June 12, 2021",11:38 AM EST,9.5,$199
