name,ticker,date,time,size,price
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",6:28 PM EST,6,$309
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:42 PM EST,7,$306
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:22 PM EST,7,$283
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:16 PM EST,4,$173
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:09 PM EST,12,$300
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:08 PM EST,6,$305
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:08 PM EST,7,$306
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:06 PM EST,7,$305
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:05 PM EST,12,$299
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",4:03 PM EST,8,$255
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",3:05 PM EST,6,$273
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",3:01 PM EST,7,$305
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",2:40 PM EST,11,$250
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",2:34 PM EST,11,$267
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",2:22 PM EST,9,$210
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",2:05 PM EST,9,$212
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:40 PM EST,9,$224
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:24 PM EST,12,$299
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:19 PM EST,10,$233
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:19 PM EST,10,$234
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:17 PM EST,10,$231
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:13 PM EST,9,$215
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:09 PM EST,9,$214
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:09 PM EST,9,$214
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",1:09 PM EST,11,$252
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",11:55 AM EST,8,$231
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",11:55 AM EST,6,$297
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",11:40 AM EST,13,$302
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",11:22 AM EST,6,$309
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",10:35 AM EST,12,$298
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",10:00 AM EST,14,$320
adidas Yeezy Slide Core,YZYSLD-CRE,"Tuesday, July 6, 2021",8:02 AM EST,10,$249
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",12:14 AM EST,4,$173
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",12:01 AM EST,10,$249
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",11:08 PM EST,11,$251
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",10:30 PM EST,8,$259
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",10:24 PM EST,6,$306
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",10:24 PM EST,6,$306
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",10:06 PM EST,9,$231
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",9:32 PM EST,9,$230
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",9:07 PM EST,10,$248
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",8:19 PM EST,6,$275
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",5:44 PM EST,9,$230
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",4:54 PM EST,5,$191
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",4:30 PM EST,8,$255
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",3:45 PM EST,5,$206
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",2:40 PM EST,8,$259
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",2:34 PM EST,9,$225
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",1:20 PM EST,11,$272
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",11:58 AM EST,12,$297
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",11:51 AM EST,10,$237
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",11:34 AM EST,10,$249
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",11:16 AM EST,9,$230
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",10:23 AM EST,9,$228
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",9:36 AM EST,6,$276
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",9:27 AM EST,9,$224
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",6:42 AM EST,4,$186
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",5:45 AM EST,8,$240
adidas Yeezy Slide Core,YZYSLD-CRE,"Monday, July 5, 2021",3:31 AM EST,12,$298
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",12:06 AM EST,7,$281
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",11:43 PM EST,9,$230
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",8:59 PM EST,4,$173
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",6:14 PM EST,8,$244
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",5:15 PM EST,9,$214
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",2:47 PM EST,6,$305
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",2:39 AM EST,10,$249
adidas Yeezy Slide Core,YZYSLD-CRE,"Sunday, July 4, 2021",2:03 AM EST,8,$259
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",12:20 AM EST,9,$230
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",12:13 AM EST,5,$208
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",9:56 PM EST,5,$208
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",7:31 PM EST,6,$304
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",6:21 PM EST,7,$306
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",6:18 PM EST,10,$240
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",4:58 PM EST,5,$200
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",4:39 PM EST,14,$297
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",4:36 PM EST,7,$305
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",4:02 PM EST,9,$226
adidas Yeezy Slide Core,YZYSLD-CRE,"Saturday, July 3, 2021",2:38 PM EST,5,$210
