name,ticker,date,time,size,price
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, July 6, 2021",7:03 PM EST,6,$320
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, July 6, 2021",5:48 PM EST,15,$300
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, July 6, 2021",3:21 PM EST,11,$400
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, July 5, 2021",11:06 PM EST,9,$295
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, July 5, 2021",4:37 PM EST,9,$289
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, July 4, 2021",10:53 AM EST,11,$360
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, July 4, 2021",4:48 AM EST,10,$300
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, July 3, 2021",3:03 PM EST,13,$441
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, July 3, 2021",2:01 PM EST,9,$277
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, July 3, 2021",12:29 PM EST,9,$275
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, July 3, 2021",1:00 AM EST,5,$246
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, July 2, 2021",10:53 PM EST,10,$307
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, July 2, 2021",9:26 PM EST,12,$435
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, July 2, 2021",5:42 PM EST,10,$307
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, July 2, 2021",11:26 AM EST,10,$306
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, July 2, 2021",6:01 AM EST,9,$258
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, July 1, 2021",9:20 PM EST,6,$350
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, July 1, 2021",4:25 PM EST,10,$331
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, July 1, 2021",4:01 PM EST,8,$313
adidas Yeezy Slide Soot,YZYSLD-SOT,"Wednesday, June 30, 2021",12:35 AM EST,7,$380
adidas Yeezy Slide Soot,YZYSLD-SOT,"Wednesday, June 30, 2021",2:11 PM EST,6,$320
adidas Yeezy Slide Soot,YZYSLD-SOT,"Wednesday, June 30, 2021",12:08 PM EST,10,$284
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",10:11 PM EST,10,$308
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",7:34 PM EST,11,$375
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",3:03 PM EST,10,$305
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",11:31 AM EST,6,$351
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",9:58 AM EST,8,$314
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",8:02 AM EST,12,$417
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 29, 2021",6:04 AM EST,10,$286
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",12:21 AM EST,8,$313
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",10:33 PM EST,8,$280
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",10:01 PM EST,9,$261
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",5:54 PM EST,9,$295
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",2:30 PM EST,9,$270
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",10:38 AM EST,9,$276
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",8:46 AM EST,4,$221
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",8:03 AM EST,4,$225
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 28, 2021",6:30 AM EST,12,$381
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 27, 2021",10:51 PM EST,9,$250
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 27, 2021",10:38 PM EST,12,$390
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 27, 2021",8:41 PM EST,5,$248
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 27, 2021",3:50 PM EST,9,$262
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 27, 2021",8:28 AM EST,4,$222
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 27, 2021",2:44 AM EST,5,$275
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, June 26, 2021",3:26 PM EST,12,$417
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, June 26, 2021",11:38 AM EST,6,$323
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, June 26, 2021",7:15 AM EST,8,$285
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, June 26, 2021",2:38 AM EST,12,$430
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 25, 2021",8:23 PM EST,11,$395
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 25, 2021",7:55 PM EST,9,$267
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 25, 2021",12:57 PM EST,4,$241
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 25, 2021",9:55 AM EST,9,$270
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 25, 2021",9:36 AM EST,9,$262
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 25, 2021",7:13 AM EST,5,$249
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, June 24, 2021",3:15 AM EST,9,$275
adidas Yeezy Slide Soot,YZYSLD-SOT,"Wednesday, June 23, 2021",3:13 PM EST,10,$329
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 22, 2021",10:57 PM EST,11,$389
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 22, 2021",6:07 PM EST,13,$400
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 22, 2021",3:21 PM EST,13,$375
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 22, 2021",2:16 PM EST,11,$415
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 22, 2021",12:55 PM EST,10,$348
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 21, 2021",9:36 PM EST,12,$440
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 21, 2021",3:17 PM EST,7,$366
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 21, 2021",2:28 PM EST,9,$285
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 21, 2021",8:30 AM EST,6,$346
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 21, 2021",4:13 AM EST,12,$390
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",9:53 PM EST,10,$300
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",9:30 PM EST,10,$329
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",6:55 PM EST,8,$285
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",1:28 PM EST,9,$304
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",10:31 AM EST,8,$318
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",7:54 AM EST,8,$303
adidas Yeezy Slide Soot,YZYSLD-SOT,"Sunday, June 20, 2021",7:49 AM EST,6,$326
adidas Yeezy Slide Soot,YZYSLD-SOT,"Saturday, June 19, 2021",1:09 PM EST,7,$340
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 18, 2021",3:56 PM EST,8,$322
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 18, 2021",3:52 PM EST,7,$362
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 18, 2021",12:08 PM EST,4,$243
adidas Yeezy Slide Soot,YZYSLD-SOT,"Friday, June 18, 2021",12:06 PM EST,10,$328
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, June 17, 2021",1:38 PM EST,11,$400
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, June 17, 2021",7:25 AM EST,10,$290
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, June 17, 2021",7:25 AM EST,5,$208
adidas Yeezy Slide Soot,YZYSLD-SOT,"Thursday, June 17, 2021",4:11 AM EST,9,$314
adidas Yeezy Slide Soot,YZYSLD-SOT,"Wednesday, June 16, 2021",11:54 AM EST,7,$330
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",10:22 PM EST,10,$336
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",10:12 PM EST,8,$324
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",7:50 PM EST,12,$406
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",4:40 PM EST,12,$403
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",5:11 AM EST,13,$369
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",4:26 AM EST,10,$271
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",4:26 AM EST,5,$231
adidas Yeezy Slide Soot,YZYSLD-SOT,"Tuesday, June 15, 2021",3:35 AM EST,12,$395
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 14, 2021",3:19 PM EST,5,$237
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 14, 2021",2:48 PM EST,10,$337
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 14, 2021",12:21 PM EST,8,$320
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 14, 2021",5:29 AM EST,10,$271
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 14, 2021",5:25 AM EST,8,$275
adidas Yeezy Slide Soot,YZYSLD-SOT,"Monday, June 14, 2021",5:24 AM EST,9,$288
