url,name,ticker,image_path,release_date,retail_price,number_of_sales,price_premium,average_sale_price,style_code,colorway
https://stockx.com/adidas-yeezy-boost-350-v2-citrin-reflective,adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,/images/sneakers/adidas/yeezy/YZB350V2-CTRNRF.jpg,09/23/2019,$220,780,54.5%,$431,FW5318,CITRIN/CITRIN/CITRIN
https://stockx.com/adidas-yeezy-boost-350-v2-black-red-kids,adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,/images/sneakers/adidas/yeezy/ADI-ADYB3VBBB.jpg,12/05/2020,N/A,267,N/A,$402,GZ8655,BLACK/BLACK/RED
https://stockx.com/adidas-yeezy-boost-380-blue-oat-kids,adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,/images/sneakers/adidas/yeezy/YB380-BLOFK.jpg,07/25/2020,$170,227,-10.0%,$181,Q47391,BLUE OAT/BLUE OAT/BLUE OAT
https://stockx.com/adidas-yeezy-boost-350-v2-ash-pearl-infant,adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,/images/sneakers/adidas/yeezy/ADI-ADYB3VAAI.jpg,03/20/2021,$140,77,71.4%,$254,GY7735,ASH PEARL/ASH PEARL/ASH PEARL
https://stockx.com/adidas-yeezy-boost-380-hylte-glow-kids,adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,/images/sneakers/adidas/yeezy/YB380-BLFK.jpg,N/A,$170,60,15.3%,$202,N/A,HYLTE/HYLTE/HYLTE
https://stockx.com/adidas-yeezy-foam-rnnr-mx-cream-clay,adidas Yeezy Foam RNNR MX Cream Clay,ADI-ADYFRMCMM,/images/sneakers/adidas/yeezy/ADI-ADYFRMCMM.jpg,N/A,$80,4,525.0%,$839,N/A,MX CREAM CLAY/MX CREAM CLAY/MX CREAM CLAY
https://stockx.com/adidas-yeezy-500-high-slate,adidas Yeezy 500 High Slate,YZ500H-SLT,/images/sneakers/adidas/yeezy/YZ500H-SLT.jpg,12/16/2019,$220,2644,-11.4%,$210,FW4968,SLATE/SLATE/SLATE
https://stockx.com/adidas-yeezy-powerphase-calabasas-core-black,adidas Yeezy Powerphase Calabasas Core Black,YZYPWRPH-CBLK,/images/sneakers/adidas/yeezy/YZYPWRPH-CBLK.jpg,03/17/2018,$120,2454,-34.2%,$79,CG6420,CORE BLACK/CORE BLACK/CORE BLACK
https://stockx.com/adidas-yeezy-boost-350-v2-cinder-reflective,adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,/images/sneakers/adidas/yeezy/YB350V2-CNDRF.jpg,04/04/2020,$220,2151,147.3%,$512,FY4176,CINDER/CINDER/CINDER
https://stockx.com/adidas-yeezy-boost-350-v2-zyon-kids,adidas Yeezy Boost 350 V2 Zyon (Kids),YZB350V2-ZYNK,/images/sneakers/adidas/yeezy/YZB350V2-ZYNK.jpg,07/18/2020,$160,1741,18.8%,$244,FZ1283,ZYON/ZYON/ZYON
https://stockx.com/adidas-yeezy-boost-350-v2-zyon-infants,adidas Yeezy Boost 350 V2 Zyon (Infants),YZB350V2-ZYNI,/images/sneakers/adidas/yeezy/YZB350V2-ZYNI.jpg,07/18/2020,$140,1394,56.4%,$187,FZ1284,ZYON/ZYON/ZYON
https://stockx.com/adidas-yeezy-boost-700-magnet,adidas Yeezy Boost 700 Magnet,YZYB700-MGNT,/images/sneakers/adidas/yeezy/YZYB700-MGNT.jpg,09/09/2019,$300,1064,180.0%,$483,FV9922,MAGNET/MAGNET/MAGNET
https://stockx.com/adidas-yeezy-boost-350-v2-yecheil-reflective,adidas Yeezy Boost 350 V2 Yecheil (Reflective),YZB350V2-YCHRF,/images/sneakers/adidas/yeezy/YZB350V2-YCHRF.jpg,12/19/2019,$250,998,128.0%,$507,FX4145,YECHEIL/YECHEIL/YECHEIL
https://stockx.com/adidas-yeezy-boost-380-pepper-reflective,adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,/images/sneakers/adidas/yeezy/YB380-PPRRF.jpg,09/11/2020,$250,968,27.0%,$271,FZ4977,PEPPER/PEPPER/PEPPER
https://stockx.com/adidas-yeezy-500-high-frosted-blue,adidas Yeezy 500 High Frosted Blue,ADI-ADY5HFBFF,/images/sneakers/adidas/yeezy/ADI-ADY5HFBFF.jpg,04/12/2021,$200,969,34.7%,$273,GZ5544,FROSTED BLUE/FROSTED BLUE-FROSTED BLUE
https://stockx.com/adidas-yeezy-powerphase-clear-brown,adidas Yeezy Powerphase Clear Brown,YZYPP-CB,/images/sneakers/adidas/yeezy/YZYPP-CB.jpg,09/18/2019,$120,720,4.2%,$129,FV6126,CLEAR BROWN/CLEAR BROWN/CLEAR BROWN
